row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.5318,Naive Bayes,"Meta Contrast Count = 3.0 (contribution: 0.146);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Has Neg Phrase = 1.0 (contribution: 0.1058);
Enhanced VADER Compound = 0.9897 (contribution: 0.0864);
Enhanced SVM Neu = 0.4502 (contribution: 0.0816)","Meta Intensifier Count = 3.0 (contribution: -0.2002);
Meta Negator Count = 6.0 (contribution: -0.1279);
Enhanced RoBERTa Pos = 0.5938 (contribution: -0.0395);
Enhanced VADER Neg = 0.0 (contribution: -0.0329);
Meta Neg Phrase Count = 1.0 (contribution: -0.0301)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Naive Bayes. The top supporting features were Meta Contrast Count, Meta Has Contrast, Meta Has Neg Phrase, Enhanced VADER Compound, Enhanced SVM Neu. The main opposing signal was Meta Intensifier Count."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.5962,RoBERTa,"Enhanced RoBERTa Neg = 0.7574 (contribution: 0.4553);
Enhanced RoBERTa Pos = 0.0169 (contribution: 0.2946);
Enhanced VADER Compound = -0.2299 (contribution: 0.1406);
Enhanced NB Pos = 0.1861 (contribution: 0.0583);
Enhanced VADER Pos = 0.086 (contribution: 0.0404)","Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Has Contrast = 1.0 (contribution: -0.0369);
Enhanced NB Neu = 0.4297 (contribution: -0.0118);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced NB Pos, Enhanced VADER Pos. The main opposing signal was Meta Has Negator."
4,wrong,Too dark to use them indoors.,pos,neg,0.6267,RoBERTa,"Enhanced RoBERTa Neg = 0.6354 (contribution: 0.3188);
Enhanced RoBERTa Pos = 0.0237 (contribution: 0.2885);
Enhanced VADER Pos = 0.0 (contribution: 0.0819);
Enhanced VADER Compound = 0.0 (contribution: 0.0772);
Meta Has Negator = 0.0 (contribution: 0.0679)","Meta Negator Count = 0.0 (contribution: -0.0438);
Enhanced VADER Neg = 0.0 (contribution: -0.033);
Enhanced NB Neg = 0.3063 (contribution: -0.0163);
Enhanced RoBERTa Neu = 0.3409 (contribution: -0.0157);
Meta Intensifier Count = 0.0 (contribution: -0.0116)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Pos, Enhanced VADER Compound, Meta Has Negator. The main opposing signal was Meta Negator Count."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.5226,Polarity Shift Features,"Meta Has Contrast = 1.0 (contribution: 0.1167);
Enhanced RoBERTa Neu = 0.4691 (contribution: 0.1129);
Meta Contrast Count = 2.0 (contribution: 0.0806);
Meta Has Negator = 1.0 (contribution: 0.0502);
Enhanced VADER Compound = 0.6815 (contribution: 0.0489)","Enhanced SVM Neu = 0.2501 (contribution: -0.0841);
Enhanced NB Neu = 0.2139 (contribution: -0.0361);
Meta Has Intensifier = 0.0 (contribution: -0.0317);
Meta Negator Count = 2.0 (contribution: -0.0187);
Enhanced SVM Neg = 0.4308 (contribution: -0.0182)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Meta Has Contrast, Enhanced RoBERTa Neu, Meta Contrast Count, Meta Has Negator, Enhanced VADER Compound. The main opposing signal was Enhanced SVM Neu."
11,wrong,I did not the length to long.,neu,neg,0.4602,VADER,"Enhanced RoBERTa Pos = 0.0984 (contribution: 0.2209);
Enhanced VADER Pos = 0.0 (contribution: 0.0819);
Enhanced VADER Compound = 0.0 (contribution: 0.0772);
Enhanced VADER Neu = 1.0 (contribution: 0.0596);
Enhanced NB Neg = 0.4567 (contribution: 0.0549)","Enhanced RoBERTa Neu = 0.5359 (contribution: -0.1051);
Meta Has Negator = 1.0 (contribution: -0.0526);
Enhanced VADER Neg = 0.0 (contribution: -0.033);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115)","The meta model predicted 'neg' mainly because the strongest supporting signals came from VADER. The top supporting features were Enhanced RoBERTa Pos, Enhanced VADER Pos, Enhanced VADER Compound, Enhanced VADER Neu, Enhanced NB Neg. The main opposing signal was Enhanced RoBERTa Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.5564,RoBERTa,"Enhanced RoBERTa Neu = 0.5729 (contribution: 0.1851);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Has Intensifier = 1.0 (contribution: 0.0598);
Enhanced VADER Compound = 0.7391 (contribution: 0.0559);
Meta Has Negator = 1.0 (contribution: 0.0502)","Meta Intensifier Count = 1.0 (contribution: -0.037);
Enhanced SVM Neu = 0.3083 (contribution: -0.0359);
Enhanced NB Neu = 0.2172 (contribution: -0.0352);
Enhanced VADER Neg = 0.014 (contribution: -0.027);
Enhanced SVM Pos = 0.4025 (contribution: -0.0222)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Has Intensifier, Enhanced VADER Compound, Meta Has Negator. The main opposing signal was Meta Intensifier Count."
14,wrong,Much clearer than VHS-to-DVD-to-Digital,pos,neu,0.3925,RoBERTa,"Enhanced RoBERTa Neu = 0.5338 (contribution: 0.1579);
Meta Intensifier Count = 0.0 (contribution: 0.0446);
Meta Negator Count = 0.0 (contribution: 0.0358);
Enhanced SVM Pos = 0.1995 (contribution: 0.0266);
Enhanced VADER Pos = 0.0 (contribution: 0.0194)","Meta Has Contrast = 0.0 (contribution: -0.098);
Meta Has Negator = 0.0 (contribution: -0.0648);
Meta Contrast Count = 0.0 (contribution: -0.0503);
Enhanced VADER Compound = 0.0 (contribution: -0.0341);
Enhanced VADER Neg = 0.0 (contribution: -0.0329)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Intensifier Count, Meta Negator Count, Enhanced SVM Pos, Enhanced VADER Pos. The main opposing signal was Meta Has Contrast."
17,wrong,FIVE STA...er...Make that ONE star!,neg,neu,0.3862,RoBERTa,"Enhanced RoBERTa Neu = 0.5609 (contribution: 0.1767);
Meta Intensifier Count = 0.0 (contribution: 0.0446);
Meta Negator Count = 0.0 (contribution: 0.0358);
Enhanced SVM Pos = 0.1974 (contribution: 0.0271);
Enhanced VADER Pos = 0.0 (contribution: 0.0194)","Meta Has Contrast = 0.0 (contribution: -0.098);
Meta Has Negator = 0.0 (contribution: -0.0648);
Meta Contrast Count = 0.0 (contribution: -0.0503);
Enhanced VADER Compound = 0.0 (contribution: -0.0341);
Enhanced VADER Neg = 0.0 (contribution: -0.0329)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Intensifier Count, Meta Negator Count, Enhanced SVM Pos, Enhanced VADER Pos. The main opposing signal was Meta Has Contrast."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.6014,VADER,"Enhanced VADER Compound = -0.6793 (contribution: 0.2645);
Enhanced RoBERTa Pos = 0.1179 (contribution: 0.2033);
Enhanced NB Neg = 0.6372 (contribution: 0.1404);
Enhanced NB Pos = 0.1512 (contribution: 0.0749);
Enhanced RoBERTa Neg = 0.413 (contribution: 0.07)","Enhanced RoBERTa Neu = 0.4691 (contribution: -0.0744);
Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115);
Meta Negator Count = 1.0 (contribution: -0.0104)","The meta model predicted 'neg' mainly because the strongest supporting signals came from VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Pos, Enhanced NB Neg, Enhanced NB Pos, Enhanced RoBERTa Neg. The main opposing signal was Enhanced RoBERTa Neu."
28,wrong,"This batch that I bouth in 2010 no only won't burn in either my CD/DVD player but it ejects itself before I can press a button. Same with the other player on my machine which also burns blu rays. I took the DL Verbatims from 2007-2008 and saved them to one BluRay and all the info was transferred wihtout a hitch. The 4.7s work great, I even get what should be DL space items compressed without much quality loss to the 4.7s This is very bad. They did something in the factory that reduced the quality of the DL disk to where the machine dosent even want it to sit there. I kicks it out. Sometimes im lucky if i put it in and press burn right away it will register but more often then not burns coaster.",neg,neu,0.5805,Polarity Shift Features,"Enhanced RoBERTa Neu = 0.5057 (contribution: 0.1384);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Has Pos Phrase = 1.0 (contribution: 0.0903);
Meta Contrast Count = 2.0 (contribution: 0.0806);
Enhanced VADER Compound = 0.8444 (contribution: 0.0687)","Meta Pos Phrase Count = 1.0 (contribution: -0.0963);
Meta Negator Count = 4.0 (contribution: -0.0733);
Meta Intensifier Count = 1.0 (contribution: -0.037);
Enhanced NB Neu = 0.2917 (contribution: -0.0156);
Enhanced SVM Neg = 0.413 (contribution: -0.0147)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Has Pos Phrase, Meta Contrast Count, Enhanced VADER Compound. The main opposing signal was Meta Pos Phrase Count."
