row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.4896,Naive Bayes,"Base VADER Compound = 0.9877 (contribution: 0.2175);
Base NB Neu = 0.5844 (contribution: 0.1357);
Base NB Pos = 0.1984 (contribution: 0.0777);
Base SVM Pos = 0.18 (contribution: 0.0547);
Base RoBERTa Neu = 0.3557 (contribution: 0.0226)","Base RoBERTa Pos = 0.6239 (contribution: -0.0673);
Base VADER Neg = 0.0 (contribution: -0.0547);
Base RoBERTa Neg = 0.0204 (contribution: -0.0364);
Base SVM Neg = 0.4674 (contribution: -0.0297);
Base NB Neg = 0.2172 (contribution: -0.0233)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Naive Bayes. The top supporting features were Base VADER Compound, Base NB Neu, Base NB Pos, Base SVM Pos, Base RoBERTa Neu. The main opposing signal was Base RoBERTa Pos."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.6928,RoBERTa,"Base RoBERTa Neg = 0.7605 (contribution: 0.7641);
Base RoBERTa Pos = 0.0159 (contribution: 0.4888);
Base VADER Compound = -0.2299 (contribution: 0.1888);
Base RoBERTa Neu = 0.2236 (contribution: 0.0413);
Base SVM Neg = 0.3619 (contribution: 0.0222)","Base NB Neu = 0.4254 (contribution: -0.0531);
Base NB Pos = 0.1962 (contribution: -0.0208);
Base VADER Pos = 0.086 (contribution: -0.0122);
Base SVM Neu = 0.3263 (contribution: -0.0031);
Base VADER Neu = 0.784 (contribution: -0.0026)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base SVM Neg. The main opposing signal was Base NB Neu."
4,wrong,Too dark to use them indoors.,pos,neg,0.6159,RoBERTa,"Base RoBERTa Neg = 0.6455 (contribution: 0.5508);
Base RoBERTa Pos = 0.022 (contribution: 0.4798);
Base VADER Compound = 0.0 (contribution: 0.1092);
Base SVM Neg = 0.3713 (contribution: 0.0294);
Base SVM Pos = 0.3045 (contribution: 0.0141)","Base VADER Neu = 1.0 (contribution: -0.0386);
Base VADER Pos = 0.0 (contribution: -0.025);
Base NB Neu = 0.383 (contribution: -0.0214);
Base NB Neg = 0.3093 (contribution: -0.0117);
Base RoBERTa Neu = 0.3326 (contribution: -0.0107)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base SVM Neg, Base SVM Pos. The main opposing signal was Base VADER Neu."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.5464,VADER,"Base VADER Compound = 0.6815 (contribution: 0.1184);
Base NB Pos = 0.1822 (contribution: 0.0894);
Base RoBERTa Neu = 0.4534 (contribution: 0.071);
Base NB Neg = 0.5887 (contribution: 0.0475);
Base SVM Neu = 0.3646 (contribution: 0.0126)","Base NB Neu = 0.2292 (contribution: -0.0737);
Base RoBERTa Neg = 0.1355 (contribution: -0.0236);
Base RoBERTa Pos = 0.4111 (contribution: -0.0166);
Base SVM Pos = 0.3383 (contribution: -0.0094);
Base VADER Pos = 0.179 (contribution: -0.0035)","The meta model predicted 'neu' mainly because the strongest supporting signals came from VADER. The top supporting features were Base VADER Compound, Base NB Pos, Base RoBERTa Neu, Base NB Neg, Base SVM Neu. The main opposing signal was Base NB Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.5298,RoBERTa,"Base VADER Compound = 0.7391 (contribution: 0.137);
Base RoBERTa Neu = 0.5762 (contribution: 0.1319);
Base NB Pos = 0.2481 (contribution: 0.0419);
Base RoBERTa Pos = 0.1774 (contribution: 0.0391);
Base VADER Pos = 0.063 (contribution: 0.0331)","Base SVM Neu = 0.2404 (contribution: -0.1088);
Base NB Neu = 0.2505 (contribution: -0.0612);
Base SVM Pos = 0.4426 (contribution: -0.0516);
Base VADER Neg = 0.014 (contribution: -0.0427);
Base RoBERTa Neg = 0.2464 (contribution: -0.0113)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base VADER Compound, Base RoBERTa Neu, Base NB Pos, Base RoBERTa Pos, Base VADER Pos. The main opposing signal was Base SVM Neu."
17,wrong,FIVE STA...er...Make that ONE star!,neg,neu,0.4358,RoBERTa,"Base RoBERTa Neu = 0.5612 (contribution: 0.1244);
Base VADER Pos = 0.0 (contribution: 0.053);
Base NB Pos = 0.262 (contribution: 0.0319);
Base NB Neg = 0.3859 (contribution: 0.0088);
Base VADER Neu = 1.0 (contribution: 0.003)","Base VADER Compound = 0.0 (contribution: -0.1022);
Base VADER Neg = 0.0 (contribution: -0.0547);
Base RoBERTa Neg = 0.043 (contribution: -0.0339);
Base SVM Neu = 0.3376 (contribution: -0.0138);
Base RoBERTa Pos = 0.3957 (contribution: -0.0129)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Pos, Base NB Pos, Base NB Neg, Base VADER Neu. The main opposing signal was Base VADER Compound."
19,wrong,"Ladies with smaller sized chest would be fine with this product- Ladies with larger (D+), don't bother! The ears don't stick enough to keep the girls lifted and give you a weird shape when they do stick for a couple minutes.",neg,neu,0.51,RoBERTa,"Base RoBERTa Neu = 0.5564 (contribution: 0.122);
Base RoBERTa Pos = 0.0894 (contribution: 0.0601);
Base NB Pos = 0.2297 (contribution: 0.0551);
Base NB Neg = 0.528 (contribution: 0.0359);
Base VADER Pos = 0.099 (contribution: 0.0217)","Base NB Neu = 0.2423 (contribution: -0.066);
Base VADER Neg = 0.041 (contribution: -0.0196);
Base SVM Neu = 0.339 (contribution: -0.0124);
Base SVM Pos = 0.3312 (contribution: -0.0065)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base RoBERTa Pos, Base NB Pos, Base NB Neg, Base VADER Pos. The main opposing signal was Base NB Neu."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.5652,RoBERTa,"Base RoBERTa Pos = 0.119 (contribution: 0.3341);
Base VADER Compound = -0.4693 (contribution: 0.2716);
Base RoBERTa Neg = 0.4144 (contribution: 0.1224);
Base NB Neg = 0.6036 (contribution: 0.1016);
Base NB Neu = 0.2315 (contribution: 0.0915)","Base RoBERTa Neu = 0.4666 (contribution: -0.0748);
Base NB Pos = 0.1648 (contribution: -0.0267);
Base VADER Pos = 0.092 (contribution: -0.0113);
Base VADER Neu = 0.787 (contribution: -0.0031);
Base SVM Neu = 0.3461 (contribution: -0.0007)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neg, Base NB Neg, Base NB Neu. The main opposing signal was Base RoBERTa Neu."
23,wrong,the cam too big,neg,neu,0.4427,RoBERTa,"Base RoBERTa Neu = 0.5284 (contribution: 0.1082);
Base RoBERTa Pos = 0.0774 (contribution: 0.0629);
Base VADER Pos = 0.0 (contribution: 0.053);
Base NB Neg = 0.3679 (contribution: 0.0054);
Base RoBERTa Neg = 0.3942 (contribution: 0.0051)","Base VADER Compound = 0.0 (contribution: -0.1022);
Base VADER Neg = 0.0 (contribution: -0.0547);
Base SVM Neu = 0.3189 (contribution: -0.0321);
Base NB Neu = 0.33 (contribution: -0.0143);
Base SVM Neg = 0.3592 (contribution: -0.0057)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base RoBERTa Pos, Base VADER Pos, Base NB Neg, Base RoBERTa Neg. The main opposing signal was Base VADER Compound."
29,wrong,Built great.,neu,pos,0.769,RoBERTa,"Base RoBERTa Pos = 0.7852 (contribution: 0.7719);
Base RoBERTa Neg = 0.033 (contribution: 0.6198);
Base VADER Pos = 0.804 (contribution: 0.1063);
Base NB Pos = 0.4568 (contribution: 0.0801);
Base NB Neg = 0.2222 (contribution: 0.0675)","Base VADER Neu = 0.196 (contribution: -0.0878);
Base NB Neu = 0.3209 (contribution: -0.0052)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Pos, Base NB Pos, Base NB Neg. The main opposing signal was Base VADER Neu."
