row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_individual_feature,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.5422,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.3781 (SHAP contribution: 0.2266);
Meta Contrast Count = 3.0 (SHAP contribution: 0.1735);
Enhanced SVM Neu = 0.4521 (SHAP contribution: 0.0888);
Enhanced NB Neu = 0.425 (SHAP contribution: 0.0441);
Enhanced NB Pos = 0.1803 (SHAP contribution: 0.0318)","Meta Intensifier Count = 3.0 (SHAP contribution: -0.019);
Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0077)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Contrast Count, Enhanced SVM Neu, Enhanced NB Neu, Enhanced NB Pos. The main opposing signal was Meta Intensifier Count."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.62,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.7574 (SHAP contribution: 0.5214);
Enhanced RoBERTa Pos = 0.0169 (SHAP contribution: 0.316);
Enhanced VADER Compound = -0.2299 (SHAP contribution: 0.1497);
Enhanced RoBERTa Neu = 0.2257 (SHAP contribution: 0.099);
Enhanced SVM Pos = 0.2067 (SHAP contribution: 0.0346)","Enhanced VADER Neu = 0.784 (SHAP contribution: -0.01);
Enhanced NB Neu = 0.3772 (SHAP contribution: -0.0041);
Enhanced SVM Neu = 0.4411 (SHAP contribution: -0.0008);
Enhanced NB Pos = 0.1818 (SHAP contribution: -0.0002)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced SVM Pos. The main opposing signal was Enhanced VADER Neu."
4,wrong,Too dark to use them indoors.,pos,neg,0.7511,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.6354 (SHAP contribution: 0.5161);
Enhanced RoBERTa Pos = 0.0237 (SHAP contribution: 0.3141);
Enhanced VADER Compound = 0.0 (SHAP contribution: 0.1523);
Enhanced RoBERTa Neu = 0.3409 (SHAP contribution: 0.1005);
Enhanced VADER Pos = 0.0 (SHAP contribution: 0.0844)","Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0007);
Enhanced NB Pos = 0.3175 (SHAP contribution: -0.0002)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced VADER Pos. The main opposing signal was Enhanced VADER Neg."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.5689,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.4691 (SHAP contribution: 0.2147);
Meta Contrast Count = 2.0 (SHAP contribution: 0.1441);
Enhanced VADER Neg = 0.062 (SHAP contribution: 0.0255);
Enhanced RoBERTa Neg = 0.1496 (SHAP contribution: 0.0227);
Enhanced NB Pos = 0.2918 (SHAP contribution: 0.0205)","Enhanced SVM Neu = 0.2625 (SHAP contribution: -0.1529);
Enhanced NB Neu = 0.2908 (SHAP contribution: -0.026);
Enhanced SVM Neg = 0.4171 (SHAP contribution: -0.0014);
Enhanced NB Neg = 0.4175 (SHAP contribution: -0.0009);
Meta Neg Phrase Count = 0.0 (SHAP contribution: -0.0007)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Contrast Count, Enhanced VADER Neg, Enhanced RoBERTa Neg, Enhanced NB Pos. The main opposing signal was Enhanced SVM Neu."
11,wrong,I did not the length to long.,neu,neg,0.4325,Enhanced VADER Compound,VADER,"Enhanced VADER Compound = 0.0 (SHAP contribution: 0.1658);
Enhanced RoBERTa Neg = 0.3657 (SHAP contribution: 0.1114);
Enhanced VADER Pos = 0.0 (SHAP contribution: 0.087);
Enhanced VADER Neu = 1.0 (SHAP contribution: 0.0543);
Enhanced RoBERTa Pos = 0.0984 (SHAP contribution: 0.0385)","Enhanced RoBERTa Neu = 0.5359 (SHAP contribution: -0.1551);
Enhanced NB Neu = 0.413 (SHAP contribution: -0.0136);
Enhanced SVM Neg = 0.3493 (SHAP contribution: -0.0022);
Enhanced SVM Neu = 0.4561 (SHAP contribution: -0.0018);
Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0006)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced VADER Compound, while the strongest overall feature group was VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Neg, Enhanced VADER Pos, Enhanced VADER Neu, Enhanced RoBERTa Pos. The main opposing signal was Enhanced RoBERTa Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.5363,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.5729 (SHAP contribution: 0.2009);
Meta Contrast Count = 1.0 (SHAP contribution: 0.1422);
Enhanced NB Neu = 0.339 (SHAP contribution: 0.0316);
Enhanced VADER Compound = 0.7391 (SHAP contribution: 0.0235);
Meta Has Contrast = 1.0 (SHAP contribution: 0.0223)","Enhanced SVM Neu = 0.3052 (SHAP contribution: -0.0449);
Enhanced VADER Neu = 0.923 (SHAP contribution: -0.0348);
Enhanced NB Pos = 0.3778 (SHAP contribution: -0.0082);
Enhanced VADER Neg = 0.014 (SHAP contribution: -0.008);
Meta Neg Phrase Count = 0.0 (SHAP contribution: -0.0007)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Contrast Count, Enhanced NB Neu, Enhanced VADER Compound, Meta Has Contrast. The main opposing signal was Enhanced SVM Neu."
14,wrong,Much clearer than VHS-to-DVD-to-Digital,pos,neu,0.3792,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.5338 (SHAP contribution: 0.1518);
Enhanced SVM Neu = 0.362 (SHAP contribution: 0.0338);
Enhanced NB Neu = 0.3596 (SHAP contribution: 0.0267);
Enhanced RoBERTa Neg = 0.0605 (SHAP contribution: 0.0185);
Enhanced SVM Pos = 0.1948 (SHAP contribution: 0.0155)","Meta Contrast Count = 0.0 (SHAP contribution: -0.1701);
Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0521);
Enhanced VADER Neu = 1.0 (SHAP contribution: -0.0349);
Meta Has Contrast = 0.0 (SHAP contribution: -0.0255);
Enhanced NB Pos = 0.3218 (SHAP contribution: -0.0254)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced SVM Neu, Enhanced NB Neu, Enhanced RoBERTa Neg, Enhanced SVM Pos. The main opposing signal was Meta Contrast Count."
17,wrong,FIVE STA...er...Make that ONE star!,neg,pos,0.3815,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.0422 (SHAP contribution: 0.3337);
Enhanced RoBERTa Neu = 0.5609 (SHAP contribution: 0.0598);
Enhanced SVM Neu = 0.3219 (SHAP contribution: 0.0416);
Meta Contrast Count = 0.0 (SHAP contribution: 0.0077);
Enhanced VADER Neg = 0.0 (SHAP contribution: 0.0076)","Enhanced SVM Pos = 0.1987 (SHAP contribution: -0.0993);
Enhanced VADER Compound = 0.0 (SHAP contribution: -0.0914);
Enhanced NB Pos = 0.2387 (SHAP contribution: -0.0425);
Enhanced VADER Pos = 0.0 (SHAP contribution: -0.0157);
Enhanced NB Neg = 0.4415 (SHAP contribution: -0.0148)","The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Neu, Enhanced SVM Neu, Meta Contrast Count, Enhanced VADER Neg. The main opposing signal was Enhanced SVM Pos."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.4582,Enhanced VADER Compound,VADER,"Enhanced VADER Compound = -0.6793 (SHAP contribution: 0.1678);
Enhanced RoBERTa Neg = 0.413 (SHAP contribution: 0.1636);
Enhanced RoBERTa Pos = 0.1179 (SHAP contribution: 0.053);
Enhanced NB Neg = 0.5822 (SHAP contribution: 0.0163);
Enhanced SVM Neg = 0.4702 (SHAP contribution: 0.0109)","Enhanced RoBERTa Neu = 0.4691 (SHAP contribution: -0.1627);
Enhanced SVM Pos = 0.3132 (SHAP contribution: -0.0356);
Enhanced VADER Neu = 0.756 (SHAP contribution: -0.0126);
Enhanced NB Pos = 0.1623 (SHAP contribution: -0.0005)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced VADER Compound, while the strongest overall feature group was VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced NB Neg, Enhanced SVM Neg. The main opposing signal was Enhanced RoBERTa Neu."
28,wrong,"This batch that I bouth in 2010 no only won't burn in either my CD/DVD player but it ejects itself before I can press a button. Same with the other player on my machine which also burns blu rays. I took the DL Verbatims from 2007-2008 and saved them to one BluRay and all the info was transferred wihtout a hitch. The 4.7s work great, I even get what should be DL space items compressed without much quality loss to the 4.7s This is very bad. They did something in the factory that reduced the quality of the DL disk to where the machine dosent even want it to sit there. I kicks it out. Sometimes im lucky if i put it in and press burn right away it will register but more often then not burns coaster.",neg,neu,0.61,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.5057 (SHAP contribution: 0.2111);
Meta Contrast Count = 2.0 (SHAP contribution: 0.1242);
Enhanced SVM Neu = 0.3792 (SHAP contribution: 0.0689);
Enhanced VADER Neu = 0.843 (SHAP contribution: 0.0377);
Enhanced NB Pos = 0.1778 (SHAP contribution: 0.0272)","Enhanced NB Neg = 0.5047 (SHAP contribution: -0.0367);
Enhanced NB Neu = 0.3174 (SHAP contribution: -0.0215);
Meta Pos Phrase Count = 1.0 (SHAP contribution: -0.0046);
Enhanced VADER Pos = 0.11 (SHAP contribution: -0.0036);
Enhanced SVM Neg = 0.4253 (SHAP contribution: -0.0014)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Contrast Count, Enhanced SVM Neu, Enhanced VADER Neu, Enhanced NB Pos. The main opposing signal was Enhanced NB Neg."
29,wrong,Built great.,neu,pos,0.7002,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.032 (SHAP contribution: 0.445);
Enhanced RoBERTa Pos = 0.7823 (SHAP contribution: 0.2396);
Enhanced SVM Pos = 0.4916 (SHAP contribution: 0.0645);
Enhanced SVM Neg = 0.176 (SHAP contribution: 0.0622);
Enhanced VADER Compound = 0.6249 (SHAP contribution: 0.0432)",Meta Negator Count = 0.0 (SHAP contribution: -0.0004),"The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced SVM Pos, Enhanced SVM Neg, Enhanced VADER Compound. The main opposing signal was Meta Negator Count."
30,wrong,These are okay. They are pretty but they are also kinda cheap. But hey look at the price. They do look very nice and are comfortable to wear.,neu,pos,0.7173,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.0111 (SHAP contribution: 0.8113);
Enhanced RoBERTa Pos = 0.8516 (SHAP contribution: 0.4189);
Enhanced VADER Compound = 0.903 (SHAP contribution: 0.0449);
Enhanced RoBERTa Neu = 0.1373 (SHAP contribution: 0.043);
Enhanced NB Pos = 0.3583 (SHAP contribution: 0.0256)","Enhanced SVM Neu = 0.5016 (SHAP contribution: -0.1142);
Enhanced SVM Pos = 0.2312 (SHAP contribution: -0.0939);
Meta Contrast Count = 2.0 (SHAP contribution: -0.0303);
Enhanced SVM Neg = 0.2672 (SHAP contribution: -0.0109);
Meta Negator Count = 0.0 (SHAP contribution: -0.0004)","The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced NB Pos. The main opposing signal was Enhanced SVM Neu."
33,wrong,"This is the book that was used for MATH 0150 at Kean University, Union, NJ, USA.",neu,pos,0.437,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.0328 (SHAP contribution: 0.3679);
Enhanced RoBERTa Neu = 0.8853 (SHAP contribution: 0.0721);
Enhanced SVM Pos = 0.4168 (SHAP contribution: 0.0493);
Enhanced SVM Neu = 0.2911 (SHAP contribution: 0.0409);
Enhanced NB Pos = 0.3708 (SHAP contribution: 0.0263)","Enhanced RoBERTa Pos = 0.082 (SHAP contribution: -0.1167);
Enhanced VADER Compound = 0.0 (SHAP contribution: -0.1139);
Enhanced VADER Pos = 0.0 (SHAP contribution: -0.0157);
Enhanced SVM Neg = 0.2921 (SHAP contribution: -0.0126);
Meta Negator Count = 0.0 (SHAP contribution: -0.0003)","The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Neu, Enhanced SVM Pos, Enhanced SVM Neu, Enhanced NB Pos. The main opposing signal was Enhanced RoBERTa Pos."
