row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,prediction_decision_score,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
0,correct,They aren't as warm or water resistant as I would have like given they are advertised as waterproof.,neu,neu,0.5125,0.1737,RoBERTa,"Base RoBERTa Neu = 0.6234 (contribution: 0.3404);
Base RoBERTa Pos = 0.0807 (contribution: 0.0563);
Base NB Neu = 0.4462 (contribution: 0.0401);
Base SVM Neu = 0.3966 (contribution: 0.0302);
Base SVM Neg = 0.2611 (contribution: 0.0137)","Base VADER Compound = 0.2105 (contribution: -0.0284);
Base SVM Pos = 0.3423 (contribution: -0.0059);
Base NB Neg = 0.2751 (contribution: -0.005)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base RoBERTa Pos, Base NB Neu, Base SVM Neu, Base SVM Neg. The main opposing signal was Base VADER Compound."
1,correct,Pins bend too easily,neg,neg,0.545,0.2613,RoBERTa,"Base RoBERTa Neg = 0.7283 (contribution: 0.3392);
Base RoBERTa Pos = 0.0225 (contribution: 0.2092);
Base RoBERTa Neu = 0.2492 (contribution: 0.0284);
Base VADER Pos = 0.444 (contribution: 0.0284);
Base VADER Neg = 0.0 (contribution: 0.0111)","Base NB Neu = 0.4347 (contribution: -0.0324);
Base NB Pos = 0.2703 (contribution: -0.007);
Base NB Neg = 0.295 (contribution: -0.0057);
Base VADER Compound = 0.34 (contribution: -0.0053)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base VADER Pos, Base VADER Neg. The main opposing signal was Base NB Neu."
5,correct,"I buy a lot of stuff on Amazon and I'd say this is one of cheapest quality items I've seen. I got this for my daughter and although she likes it, I feel it's very poor quality.I don't expect this garment to last more than a month , very disappointing. 100%polyester",neg,neg,0.706,0.6877,RoBERTa,"Base RoBERTa Neg = 0.9056 (contribution: 0.4974);
Base RoBERTa Pos = 0.0071 (contribution: 0.2193);
Base VADER Compound = -0.5245 (contribution: 0.1837);
Base RoBERTa Neu = 0.0872 (contribution: 0.104);
Base NB Neu = 0.2392 (contribution: 0.0463)","Base SVM Pos = 0.3901 (contribution: -0.0347);
Base VADER Neg = 0.131 (contribution: -0.0117);
Base VADER Pos = 0.086 (contribution: -0.0084);
Base NB Pos = 0.2702 (contribution: -0.007);
Base VADER Neu = 0.783 (contribution: -0.0006)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base NB Neu. The main opposing signal was Base SVM Pos."
6,correct,I have the highest respect for the nations highest award. Very good program about the medal of honor and I would recommend it highly.,pos,pos,0.7262,0.78,RoBERTa,"Base RoBERTa Pos = 0.9476 (contribution: 0.5279);
Base RoBERTa Neg = 0.004 (contribution: 0.2878);
Base RoBERTa Neu = 0.0484 (contribution: 0.1231);
Base NB Pos = 0.587 (contribution: 0.0928);
Base SVM Pos = 0.3878 (contribution: 0.0562)","Base VADER Compound = 0.9558 (contribution: -0.0478);
Base VADER Neu = 0.463 (contribution: -0.0159)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base NB Pos, Base SVM Pos. The main opposing signal was Base VADER Compound."
7,correct,Great case for the price! Stunning tempered glass panels really make it a showpiece.,pos,pos,0.7301,0.791,RoBERTa,"Base RoBERTa Pos = 0.9586 (contribution: 0.5375);
Base RoBERTa Neg = 0.0043 (contribution: 0.2876);
Base RoBERTa Neu = 0.0371 (contribution: 0.1284);
Base NB Pos = 0.5796 (contribution: 0.0903);
Base SVM Pos = 0.3711 (contribution: 0.0433)","Base VADER Compound = 0.7901 (contribution: -0.0354);
Base VADER Neu = 0.611 (contribution: -0.0082);
Base SVM Neg = 0.3387 (contribution: -0.0009)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base NB Pos, Base SVM Pos. The main opposing signal was Base VADER Compound."
9,correct,They are ok. I got the wrong size somehow. Also they are made out of cheap material. I will wear them but I bought a different pair on amazon for a little more money that was definitely worth it.,neu,neu,0.4287,-0.0468,RoBERTa,"Base RoBERTa Neu = 0.486 (contribution: 0.1911);
Base VADER Compound = 0.7579 (contribution: 0.1195);
Base RoBERTa Neg = 0.1094 (contribution: 0.0249);
Base NB Neg = 0.4425 (contribution: 0.008);
Base NB Pos = 0.2903 (contribution: 0.0073)","Base NB Neu = 0.2672 (contribution: -0.0379);
Base SVM Neu = 0.3233 (contribution: -0.0191);
Base RoBERTa Pos = 0.4046 (contribution: -0.0136);
Base VADER Pos = 0.235 (contribution: -0.0115);
Base VADER Neg = 0.05 (contribution: -0.0066)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Compound, Base RoBERTa Neg, Base NB Neg, Base NB Pos. The main opposing signal was Base NB Neu."
10,correct,Very good strap works as stated,pos,pos,0.6539,0.5563,RoBERTa,"Base RoBERTa Pos = 0.8481 (contribution: 0.4412);
Base RoBERTa Neg = 0.0116 (contribution: 0.2814);
Base RoBERTa Neu = 0.1402 (contribution: 0.0799);
Base NB Pos = 0.4631 (contribution: 0.0518);
Base VADER Neg = 0.0 (contribution: 0.0323)","Base VADER Compound = 0.4927 (contribution: -0.0132);
Base SVM Neu = 0.3704 (contribution: -0.0124);
Base VADER Neu = 0.61 (contribution: -0.0082)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base NB Pos, Base VADER Neg. The main opposing signal was Base VADER Compound."
11,correct,I did not the length to long.,neu,neu,0.451,0.0186,RoBERTa,"Base RoBERTa Neu = 0.5396 (contribution: 0.2494);
Base RoBERTa Pos = 0.0986 (contribution: 0.0525);
Base NB Pos = 0.2072 (contribution: 0.0455);
Base NB Neu = 0.432 (contribution: 0.0339);
Base VADER Pos = 0.0 (contribution: 0.0287)","Base VADER Compound = 0.0 (contribution: -0.0853);
Base VADER Neg = 0.0 (contribution: -0.0304);
Base RoBERTa Neg = 0.3618 (contribution: -0.0014)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neu, Base RoBERTa Pos, Base NB Pos, Base NB Neu, Base VADER Pos. The main opposing signal was Base VADER Compound."
13,correct,"This book was absolutely the most boring book I've ever read! The sisters take up about 20 pages just explaining who's who in their family, which was just about the most unbelievably dull experience I've ever had reading. Also, they always manage to sound like they were and are perfect people. It's a great premise for a book, but the story is lost when Bessie and Sadie only speak of what great things they did, and not of what the blacks of that time period did. I love Black History, but this book was an extreme disappointment to me. I'd rather read a school textbook than this book.",neg,neg,0.5638,0.286,RoBERTa,"Base RoBERTa Neg = 0.8908 (contribution: 0.4842);
Base RoBERTa Pos = 0.0093 (contribution: 0.2179);
Base RoBERTa Neu = 0.0999 (contribution: 0.0981);
Base NB Pos = 0.5634 (contribution: 0.0499);
Base NB Neu = 0.2392 (contribution: 0.0463)","Base VADER Compound = 0.8372 (contribution: -0.114);
Base SVM Neg = 0.1407 (contribution: -0.0681);
Base SVM Pos = 0.4609 (contribution: -0.0675);
Base NB Neg = 0.1974 (contribution: -0.0182);
Base SVM Neu = 0.3984 (contribution: -0.0061)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Pos, Base NB Neu. The main opposing signal was Base VADER Compound."
14,correct,Much clearer than VHS-to-DVD-to-Digital,pos,pos,0.3971,-0.1128,RoBERTa,"Base RoBERTa Neg = 0.0611 (contribution: 0.2401);
Base RoBERTa Pos = 0.4096 (contribution: 0.0593);
Base VADER Neg = 0.0 (contribution: 0.0323);
Base VADER Compound = 0.0 (contribution: 0.0236);
Base SVM Pos = 0.3377 (contribution: 0.0175)","Base RoBERTa Neu = 0.5293 (contribution: -0.1032);
Base VADER Pos = 0.0 (contribution: -0.0209);
Base NB Neu = 0.3782 (contribution: -0.0009);
Base SVM Neg = 0.3363 (contribution: -0.0005)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Neg, Base VADER Compound, Base SVM Pos. The main opposing signal was Base RoBERTa Neu."
