row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_individual_feature,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.5779,Enhanced RoBERTa Neu,Naive Bayes,"Enhanced RoBERTa Neu = 0.3781 (SHAP contribution: 0.2118);
Enhanced SVM Neu = 0.4521 (SHAP contribution: 0.1472);
Enhanced NB Pos = 0.1803 (SHAP contribution: 0.1417);
Enhanced NB Neu = 0.425 (SHAP contribution: 0.0931);
Enhanced VADER Compound = 0.9897 (SHAP contribution: 0.0802)","Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0668);
Enhanced NB Neg = 0.3946 (SHAP contribution: -0.0178);
Enhanced RoBERTa Pos = 0.5938 (SHAP contribution: -0.0112)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was Naive Bayes. The top supporting features were Enhanced RoBERTa Neu, Enhanced SVM Neu, Enhanced NB Pos, Enhanced NB Neu, Enhanced VADER Compound. The main opposing signal was Enhanced VADER Neg."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.5927,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.7574 (SHAP contribution: 0.6301);
Enhanced RoBERTa Pos = 0.0169 (SHAP contribution: 0.3439);
Enhanced VADER Compound = -0.2299 (SHAP contribution: 0.1253);
Enhanced SVM Pos = 0.2067 (SHAP contribution: 0.1044);
Enhanced RoBERTa Neu = 0.2257 (SHAP contribution: 0.0844)","Enhanced NB Neu = 0.3772 (SHAP contribution: -0.057);
Enhanced VADER Pos = 0.086 (SHAP contribution: -0.049);
Enhanced SVM Neg = 0.3523 (SHAP contribution: -0.0179);
Enhanced VADER Neu = 0.784 (SHAP contribution: -0.0112);
Enhanced NB Neg = 0.441 (SHAP contribution: -0.0052)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced SVM Pos, Enhanced RoBERTa Neu. The main opposing signal was Enhanced NB Neu."
4,wrong,Too dark to use them indoors.,pos,neg,0.8264,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.6354 (SHAP contribution: 0.663);
Enhanced RoBERTa Pos = 0.0237 (SHAP contribution: 0.3098);
Enhanced VADER Pos = 0.0 (SHAP contribution: 0.1583);
Enhanced VADER Compound = 0.0 (SHAP contribution: 0.1253);
Enhanced SVM Pos = 0.2112 (SHAP contribution: 0.12)",Enhanced SVM Neu = 0.3666 (SHAP contribution: -0.0154),"The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Pos, Enhanced VADER Compound, Enhanced SVM Pos. The main opposing signal was Enhanced SVM Neu."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.4586,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.4691 (SHAP contribution: 0.1417);
Enhanced RoBERTa Neg = 0.1496 (SHAP contribution: 0.052);
Enhanced VADER Pos = 0.179 (SHAP contribution: 0.0354);
Enhanced VADER Compound = 0.6815 (SHAP contribution: 0.0269);
Enhanced VADER Neu = 0.76 (SHAP contribution: 0.0067)","Enhanced SVM Neu = 0.2625 (SHAP contribution: -0.2725);
Enhanced NB Neu = 0.2908 (SHAP contribution: -0.0846);
Enhanced NB Pos = 0.2918 (SHAP contribution: -0.0356);
Enhanced SVM Neg = 0.4171 (SHAP contribution: -0.0187);
Enhanced NB Neg = 0.4175 (SHAP contribution: -0.0151)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced RoBERTa Neg, Enhanced VADER Pos, Enhanced VADER Compound, Enhanced VADER Neu. The main opposing signal was Enhanced SVM Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.4956,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.5729 (SHAP contribution: 0.1464);
Enhanced RoBERTa Neg = 0.263 (SHAP contribution: 0.0655);
Enhanced SVM Pos = 0.4066 (SHAP contribution: 0.0581);
Enhanced VADER Pos = 0.063 (SHAP contribution: 0.0436);
Enhanced NB Neu = 0.339 (SHAP contribution: 0.0337)","Enhanced SVM Neu = 0.3052 (SHAP contribution: -0.1582);
Enhanced VADER Neg = 0.014 (SHAP contribution: -0.0905);
Enhanced NB Pos = 0.3778 (SHAP contribution: -0.0532);
Enhanced VADER Neu = 0.923 (SHAP contribution: -0.0428);
Enhanced RoBERTa Pos = 0.1641 (SHAP contribution: -0.0125)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced RoBERTa Neg, Enhanced SVM Pos, Enhanced VADER Pos, Enhanced NB Neu. The main opposing signal was Enhanced SVM Neu."
14,wrong,Much clearer than VHS-to-DVD-to-Digital,pos,neu,0.3675,Enhanced RoBERTa Neg,RoBERTa,"Enhanced RoBERTa Neg = 0.0605 (SHAP contribution: 0.0993);
Enhanced RoBERTa Neu = 0.5338 (SHAP contribution: 0.0949);
Enhanced SVM Neu = 0.362 (SHAP contribution: 0.0377);
Enhanced NB Neu = 0.3596 (SHAP contribution: 0.029);
Enhanced SVM Pos = 0.1948 (SHAP contribution: 0.0279)","Enhanced NB Pos = 0.3218 (SHAP contribution: -0.1444);
Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0905);
Enhanced VADER Compound = 0.0 (SHAP contribution: -0.0823);
Enhanced VADER Pos = 0.0 (SHAP contribution: -0.034);
Enhanced VADER Neu = 1.0 (SHAP contribution: -0.0299)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Neu, Enhanced SVM Neu, Enhanced NB Neu, Enhanced SVM Pos. The main opposing signal was Enhanced NB Pos."
17,wrong,FIVE STA...er...Make that ONE star!,neg,neu,0.4033,Enhanced RoBERTa Neu,RoBERTa,"Enhanced RoBERTa Neu = 0.5609 (SHAP contribution: 0.1034);
Enhanced RoBERTa Neg = 0.0422 (SHAP contribution: 0.098);
Enhanced NB Pos = 0.2387 (SHAP contribution: 0.0887);
Enhanced SVM Pos = 0.1987 (SHAP contribution: 0.017);
Enhanced NB Neu = 0.3198 (SHAP contribution: 0.0002)","Enhanced VADER Compound = 0.0 (SHAP contribution: -0.0823);
Enhanced SVM Neu = 0.3219 (SHAP contribution: -0.0809);
Enhanced VADER Neg = 0.0 (SHAP contribution: -0.0668);
Enhanced VADER Neu = 1.0 (SHAP contribution: -0.0377);
Enhanced SVM Neg = 0.4794 (SHAP contribution: -0.03)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced RoBERTa Neg, Enhanced NB Pos, Enhanced SVM Pos, Enhanced NB Neu. The main opposing signal was Enhanced VADER Compound."
19,wrong,"Ladies with smaller sized chest would be fine with this product- Ladies with larger (D+), don't bother! The ears don't stick enough to keep the girls lifted and give you a weird shape when they do stick for a couple minutes.",neg,neu,0.4317,Enhanced VADER Neu,VADER,"Enhanced VADER Neu = 0.861 (SHAP contribution: 0.1197);
Enhanced RoBERTa Neu = 0.5467 (SHAP contribution: 0.0964);
Enhanced NB Pos = 0.1812 (SHAP contribution: 0.0748);
Enhanced SVM Pos = 0.4122 (SHAP contribution: 0.0604);
Enhanced RoBERTa Neg = 0.3667 (SHAP contribution: 0.0379)","Enhanced SVM Neu = 0.2179 (SHAP contribution: -0.2725);
Enhanced NB Neu = 0.2263 (SHAP contribution: -0.2262);
Enhanced SVM Neg = 0.3699 (SHAP contribution: -0.0295);
Enhanced NB Neg = 0.5924 (SHAP contribution: -0.0208);
Enhanced VADER Neg = 0.041 (SHAP contribution: -0.0139)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced VADER Neu, while the strongest overall feature group was VADER. The top supporting features were Enhanced VADER Neu, Enhanced RoBERTa Neu, Enhanced NB Pos, Enhanced SVM Pos, Enhanced RoBERTa Neg. The main opposing signal was Enhanced SVM Neu."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.4543,Enhanced VADER Compound,VADER,"Enhanced VADER Compound = -0.6793 (SHAP contribution: 0.1737);
Enhanced RoBERTa Neg = 0.413 (SHAP contribution: 0.1572);
Enhanced NB Neu = 0.2555 (SHAP contribution: 0.0852);
Enhanced SVM Neg = 0.4702 (SHAP contribution: 0.0374);
Enhanced SVM Neu = 0.2166 (SHAP contribution: 0.0117)","Enhanced SVM Pos = 0.3132 (SHAP contribution: -0.1478);
Enhanced RoBERTa Neu = 0.4691 (SHAP contribution: -0.1176);
Enhanced VADER Pos = 0.09 (SHAP contribution: -0.0486);
Enhanced NB Neg = 0.5822 (SHAP contribution: -0.0407);
Enhanced RoBERTa Pos = 0.1179 (SHAP contribution: -0.0092)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Enhanced VADER Compound, while the strongest overall feature group was VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Neg, Enhanced NB Neu, Enhanced SVM Neg, Enhanced SVM Neu. The main opposing signal was Enhanced SVM Pos."
28,wrong,"This batch that I bouth in 2010 no only won't burn in either my CD/DVD player but it ejects itself before I can press a button. Same with the other player on my machine which also burns blu rays. I took the DL Verbatims from 2007-2008 and saved them to one BluRay and all the info was transferred wihtout a hitch. The 4.7s work great, I even get what should be DL space items compressed without much quality loss to the 4.7s This is very bad. They did something in the factory that reduced the quality of the DL disk to where the machine dosent even want it to sit there. I kicks it out. Sometimes im lucky if i put it in and press burn right away it will register but more often then not burns coaster.",neg,neu,0.6771,Enhanced RoBERTa Neu,VADER,"Enhanced RoBERTa Neu = 0.5057 (SHAP contribution: 0.1785);
Enhanced SVM Neu = 0.3792 (SHAP contribution: 0.1779);
Enhanced VADER Neu = 0.843 (SHAP contribution: 0.1158);
Enhanced VADER Compound = 0.8444 (SHAP contribution: 0.1062);
Enhanced NB Pos = 0.1778 (SHAP contribution: 0.0918)","Enhanced SVM Neg = 0.4253 (SHAP contribution: -0.0253);
Enhanced VADER Neg = 0.047 (SHAP contribution: -0.0139);
Enhanced NB Neg = 0.5047 (SHAP contribution: -0.0133);
Enhanced RoBERTa Pos = 0.3091 (SHAP contribution: -0.0125)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Enhanced RoBERTa Neu, while the strongest overall feature group was VADER. The top supporting features were Enhanced RoBERTa Neu, Enhanced SVM Neu, Enhanced VADER Neu, Enhanced VADER Compound, Enhanced NB Pos. The main opposing signal was Enhanced SVM Neg."
