row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_individual_feature,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.4835,Base RoBERTa Neu,Naive Bayes,"Base RoBERTa Neu = 0.3557 (SHAP contribution: 0.0456);
Base NB Pos = 0.1984 (SHAP contribution: 0.033);
Base SVM Pos = 0.18 (SHAP contribution: 0.0252);
Base VADER Compound = 0.9877 (SHAP contribution: 0.0236);
Base RoBERTa Pos = 0.6239 (SHAP contribution: 0.0221)","Base RoBERTa Neg = 0.0204 (SHAP contribution: -0.0223);
Base VADER Neg = 0.0 (SHAP contribution: -0.019);
Base NB Neg = 0.2172 (SHAP contribution: -0.0031);
Base SVM Neu = 0.3527 (SHAP contribution: -0.0021)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neu, while the strongest overall feature group was Naive Bayes. The top supporting features were Base RoBERTa Neu, Base NB Pos, Base SVM Pos, Base VADER Compound, Base RoBERTa Pos. The main opposing signal was Base RoBERTa Neg."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.68,Base RoBERTa Pos,RoBERTa,"Base RoBERTa Pos = 0.0159 (SHAP contribution: 0.1656);
Base RoBERTa Neg = 0.7605 (SHAP contribution: 0.129);
Base VADER Compound = -0.2299 (SHAP contribution: 0.0402);
Base RoBERTa Neu = 0.2236 (SHAP contribution: 0.025);
Base SVM Pos = 0.3118 (SHAP contribution: 0.0099)","Base NB Neu = 0.4254 (SHAP contribution: -0.0179);
Base NB Neg = 0.3785 (SHAP contribution: -0.0096);
Base VADER Neu = 0.784 (SHAP contribution: -0.0074);
Base VADER Neg = 0.131 (SHAP contribution: -0.0055);
Base VADER Pos = 0.086 (SHAP contribution: -0.0014)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Pos, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Compound, Base RoBERTa Neu, Base SVM Pos. The main opposing signal was Base NB Neu."
4,wrong,Too dark to use them indoors.,pos,neg,0.7623,Base RoBERTa Pos,RoBERTa,"Base RoBERTa Pos = 0.022 (SHAP contribution: 0.1337);
Base RoBERTa Neg = 0.6455 (SHAP contribution: 0.1241);
Base VADER Compound = 0.0 (SHAP contribution: 0.0612);
Base VADER Pos = 0.0 (SHAP contribution: 0.0396);
Base RoBERTa Neu = 0.3326 (SHAP contribution: 0.0315)","Base NB Neg = 0.3093 (SHAP contribution: -0.0169);
Base NB Neu = 0.383 (SHAP contribution: -0.0094);
Base NB Pos = 0.3078 (SHAP contribution: -0.0092)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Pos, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base VADER Compound, Base VADER Pos, Base RoBERTa Neu. The main opposing signal was Base NB Neg."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.6152,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.1355 (SHAP contribution: 0.0756);
Base RoBERTa Neu = 0.4534 (SHAP contribution: 0.0565);
Base RoBERTa Pos = 0.4111 (SHAP contribution: 0.054);
Base NB Pos = 0.1822 (SHAP contribution: 0.0239);
Base VADER Compound = 0.6815 (SHAP contribution: 0.0238)","Base NB Neu = 0.2292 (SHAP contribution: -0.036);
Base NB Neg = 0.5887 (SHAP contribution: -0.0032)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Neu, Base RoBERTa Pos, Base NB Pos, Base VADER Compound. The main opposing signal was Base NB Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.4309,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.2464 (SHAP contribution: 0.0573);
Base RoBERTa Pos = 0.1774 (SHAP contribution: 0.0437);
Base VADER Compound = 0.7391 (SHAP contribution: 0.0293);
Base RoBERTa Neu = 0.5762 (SHAP contribution: 0.0253);
Base NB Pos = 0.2481 (SHAP contribution: 0.0174)","Base NB Neu = 0.2505 (SHAP contribution: -0.0405);
Base SVM Neu = 0.2404 (SHAP contribution: -0.0361);
Base VADER Neu = 0.923 (SHAP contribution: -0.0114);
Base SVM Pos = 0.4426 (SHAP contribution: -0.0063);
Base VADER Pos = 0.063 (SHAP contribution: -0.0062)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base NB Pos. The main opposing signal was Base NB Neu."
17,wrong,FIVE STA...er...Make that ONE star!,neg,pos,0.3848,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.043 (SHAP contribution: 0.1005);
Base RoBERTa Pos = 0.3957 (SHAP contribution: 0.0359);
Base SVM Neu = 0.3376 (SHAP contribution: 0.0161);
Base VADER Neg = 0.0 (SHAP contribution: 0.0122);
Base SVM Neg = 0.3325 (SHAP contribution: 0.0066)","Base VADER Compound = 0.0 (SHAP contribution: -0.0295);
Base NB Pos = 0.262 (SHAP contribution: -0.0201);
Base NB Neg = 0.3859 (SHAP contribution: -0.0177);
Base VADER Pos = 0.0 (SHAP contribution: -0.0164);
Base SVM Pos = 0.33 (SHAP contribution: -0.009)","The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Neu, Base VADER Neg, Base SVM Neg. The main opposing signal was Base VADER Compound."
18,wrong,Believe,pos,neu,0.3862,Base RoBERTa Pos,RoBERTa,"Base RoBERTa Pos = 0.6068 (SHAP contribution: 0.0373);
Base RoBERTa Neu = 0.3608 (SHAP contribution: 0.0301);
Base RoBERTa Neg = 0.0325 (SHAP contribution: 0.0247);
Base NB Pos = 0.3042 (SHAP contribution: 0.0207);
Base NB Neg = 0.406 (SHAP contribution: 0.0112)","Base SVM Neu = 0.3371 (SHAP contribution: -0.0237);
Base VADER Compound = 0.0 (SHAP contribution: -0.0162);
Base VADER Neg = 0.0 (SHAP contribution: -0.0145);
Base NB Neu = 0.2898 (SHAP contribution: -0.012);
Base VADER Neu = 1.0 (SHAP contribution: -0.0099)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Pos, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neu, Base RoBERTa Neg, Base NB Pos, Base NB Neg. The main opposing signal was Base SVM Neu."
19,wrong,"Ladies with smaller sized chest would be fine with this product- Ladies with larger (D+), don't bother! The ears don't stick enough to keep the girls lifted and give you a weird shape when they do stick for a couple minutes.",neg,neu,0.4536,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.3542 (SHAP contribution: 0.0364);
Base RoBERTa Pos = 0.0894 (SHAP contribution: 0.0323);
Base RoBERTa Neu = 0.5564 (SHAP contribution: 0.023);
Base VADER Compound = 0.3459 (SHAP contribution: 0.0184);
Base NB Pos = 0.2297 (SHAP contribution: 0.0181)","Base NB Neu = 0.2423 (SHAP contribution: -0.0463);
Base SVM Neu = 0.339 (SHAP contribution: -0.015);
Base SVM Pos = 0.3312 (SHAP contribution: -0.0023)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base VADER Compound, Base NB Pos. The main opposing signal was Base NB Neu."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.5513,Base VADER Compound,Naive Bayes,"Base VADER Compound = -0.4693 (SHAP contribution: 0.0582);
Base NB Neg = 0.6036 (SHAP contribution: 0.0456);
Base RoBERTa Neg = 0.4144 (SHAP contribution: 0.0418);
Base NB Pos = 0.1648 (SHAP contribution: 0.0361);
Base NB Neu = 0.2315 (SHAP contribution: 0.03)","Base RoBERTa Neu = 0.4666 (SHAP contribution: -0.0345);
Base VADER Neu = 0.787 (SHAP contribution: -0.0027);
Base RoBERTa Pos = 0.119 (SHAP contribution: -0.0009)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base VADER Compound, while the strongest overall feature group was Naive Bayes. The top supporting features were Base VADER Compound, Base NB Neg, Base RoBERTa Neg, Base NB Pos, Base NB Neu. The main opposing signal was Base RoBERTa Neu."
29,wrong,Built great.,neu,pos,0.7836,Base RoBERTa Pos,RoBERTa,"Base RoBERTa Pos = 0.7852 (SHAP contribution: 0.1447);
Base RoBERTa Neg = 0.033 (SHAP contribution: 0.1032);
Base NB Pos = 0.4568 (SHAP contribution: 0.044);
Base RoBERTa Neu = 0.1818 (SHAP contribution: 0.0399);
Base VADER Compound = 0.6249 (SHAP contribution: 0.0311)",Base NB Neu = 0.3209 (SHAP contribution: -0.0014),"The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Pos, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base NB Pos, Base RoBERTa Neu, Base VADER Compound. The main opposing signal was Base NB Neu."
