row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,prediction_decision_score,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
0,correct,They aren't as warm or water resistant as I would have like given they are advertised as waterproof.,neu,neu,0.5078,0.1653,RoBERTa,"Enhanced RoBERTa Neu = 0.6125 (contribution: 0.2992);
Enhanced SVM Neu = 0.6308 (contribution: 0.1506);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789);
Meta Intensifier Count = 0.0 (contribution: 0.0737);
Meta Neg Phrase Count = 0.0 (contribution: 0.0509)","Meta Has Contrast = 0.0 (contribution: -0.0765);
Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Has Neg Phrase = 0.0 (contribution: -0.055);
Meta Contrast Count = 0.0 (contribution: -0.0442)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced SVM Neu, Meta Pos Phrase Count, Meta Intensifier Count, Meta Neg Phrase Count. The main opposing signal was Meta Has Contrast."
1,correct,Pins bend too easily,neg,neg,0.585,0.36,RoBERTa,"Enhanced RoBERTa Neg = 0.7039 (contribution: 0.3148);
Enhanced RoBERTa Pos = 0.0254 (contribution: 0.2164);
Meta Has Negator = 0.0 (contribution: 0.1097);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578);
Meta Has Neg Phrase = 0.0 (contribution: 0.0386)","Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Negator Count = 0.0 (contribution: -0.0478);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Enhanced VADER Neu = 0.556 (contribution: -0.0262);
Meta Intensifier Count = 0.0 (contribution: -0.0151)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Meta Has Negator, Meta Has Pos Phrase, Meta Has Neg Phrase. The main opposing signal was Meta Pos Phrase Count."
2,correct,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,pos,0.435,0.0067,RoBERTa,"Meta Intensifier Count = 3.0 (contribution: 0.2907);
Enhanced RoBERTa Neg = 0.0281 (contribution: 0.2721);
Enhanced RoBERTa Pos = 0.5938 (contribution: 0.2149);
Meta Has Negator = 1.0 (contribution: 0.0407);
Enhanced VADER Neg = 0.0 (contribution: 0.0343)","Meta Has Intensifier = 1.0 (contribution: -0.1264);
Meta Contrast Count = 3.0 (contribution: -0.0999);
Meta Has Contrast = 1.0 (contribution: -0.0756);
Meta Negator Count = 6.0 (contribution: -0.0727);
Enhanced SVM Neu = 0.4521 (contribution: -0.0498)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Meta Intensifier Count, Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Meta Has Negator, Enhanced VADER Neg. The main opposing signal was Meta Has Intensifier."
5,correct,"I buy a lot of stuff on Amazon and I'd say this is one of cheapest quality items I've seen. I got this for my daughter and although she likes it, I feel it's very poor quality.I don't expect this garment to last more than a month , very disappointing. 100%polyester",neg,neg,0.63,0.4886,RoBERTa,"Enhanced RoBERTa Neg = 0.9236 (contribution: 0.5104);
Meta Neg Phrase Count = 1.0 (contribution: 0.2564);
Enhanced RoBERTa Pos = 0.0065 (contribution: 0.2293);
Enhanced RoBERTa Neu = 0.0699 (contribution: 0.1185);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578)","Meta Has Neg Phrase = 1.0 (contribution: -0.3287);
Meta Has Negator = 1.0 (contribution: -0.0851);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Has Intensifier = 1.0 (contribution: -0.0245);
Meta Has Contrast = 1.0 (contribution: -0.0226)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Meta Neg Phrase Count, Enhanced RoBERTa Pos, Enhanced RoBERTa Neu, Meta Has Pos Phrase. The main opposing signal was Meta Has Neg Phrase."
6,correct,I have the highest respect for the nations highest award. Very good program about the medal of honor and I would recommend it highly.,pos,pos,0.7727,0.9223,RoBERTa,"Enhanced RoBERTa Pos = 0.9289 (contribution: 0.5017);
Enhanced RoBERTa Neg = 0.0041 (contribution: 0.2924);
Meta Intensifier Count = 2.0 (contribution: 0.1722);
Enhanced SVM Pos = 0.6008 (contribution: 0.1151);
Meta Pos Phrase Count = 1.0 (contribution: 0.1018)","Meta Has Intensifier = 1.0 (contribution: -0.1264);
Enhanced NB Neg = 0.1554 (contribution: -0.0577);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced VADER Compound = 0.9601 (contribution: -0.0236);
Enhanced NB Pos = 0.5331 (contribution: -0.019)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Meta Intensifier Count, Enhanced SVM Pos, Meta Pos Phrase Count. The main opposing signal was Meta Has Intensifier."
7,correct,Great case for the price! Stunning tempered glass panels really make it a showpiece.,pos,pos,0.6785,0.615,RoBERTa,"Enhanced RoBERTa Pos = 0.956 (contribution: 0.5249);
Enhanced RoBERTa Neg = 0.0044 (contribution: 0.2921);
Enhanced RoBERTa Neu = 0.0397 (contribution: 0.0737);
Enhanced SVM Neu = 0.2202 (contribution: 0.0648);
Meta Has Contrast = 0.0 (contribution: 0.0636)","Meta Has Intensifier = 1.0 (contribution: -0.1264);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced NB Neg = 0.1853 (contribution: -0.0484);
Enhanced NB Pos = 0.5998 (contribution: -0.0246);
Enhanced VADER Compound = 0.7901 (contribution: -0.0177)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced RoBERTa Neu, Enhanced SVM Neu, Meta Has Contrast. The main opposing signal was Meta Has Intensifier."
9,correct,They are ok. I got the wrong size somehow. Also they are made out of cheap material. I will wear them but I bought a different pair on amazon for a little more money that was definitely worth it.,neu,neu,0.5373,0.2383,RoBERTa,"Meta Has Neg Phrase = 1.0 (contribution: 0.4689);
Enhanced RoBERTa Neu = 0.5445 (contribution: 0.2327);
Enhanced VADER Compound = 0.7543 (contribution: 0.1015);
Meta Has Contrast = 1.0 (contribution: 0.091);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789)","Meta Neg Phrase Count = 1.0 (contribution: -0.3851);
Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Meta Has Negator = 0.0 (contribution: -0.064);
Meta Has Diminisher = 0.0 (contribution: -0.0131)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Meta Has Neg Phrase, Enhanced RoBERTa Neu, Enhanced VADER Compound, Meta Has Contrast, Meta Pos Phrase Count. The main opposing signal was Meta Neg Phrase Count."
10,correct,Very good strap works as stated,pos,pos,0.5849,0.3554,RoBERTa,"Enhanced RoBERTa Pos = 0.852 (contribution: 0.4358);
Enhanced RoBERTa Neg = 0.0067 (contribution: 0.2902);
Meta Has Contrast = 0.0 (contribution: 0.0636);
Enhanced VADER Pos = 0.39 (contribution: 0.0553);
Meta Intensifier Count = 1.0 (contribution: 0.0537)","Meta Has Intensifier = 1.0 (contribution: -0.1264);
Enhanced NB Neg = 0.1012 (contribution: -0.0745);
Enhanced SVM Neu = 0.5016 (contribution: -0.0742);
Meta Has Negator = 0.0 (contribution: -0.0525);
Enhanced NB Pos = 0.6341 (contribution: -0.0275)","The meta SVM predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Meta Has Contrast, Enhanced VADER Pos, Meta Intensifier Count. The main opposing signal was Meta Has Intensifier."
11,correct,I did not the length to long.,neu,neu,0.3944,-0.1289,RoBERTa,"Enhanced RoBERTa Neu = 0.5359 (contribution: 0.2243);
Meta Pos Phrase Count = 0.0 (contribution: 0.0789);
Meta Intensifier Count = 0.0 (contribution: 0.0737);
Enhanced SVM Neu = 0.4561 (contribution: 0.0565);
Meta Neg Phrase Count = 0.0 (contribution: 0.0509)","Meta Has Contrast = 0.0 (contribution: -0.0765);
Meta Has Intensifier = 0.0 (contribution: -0.0742);
Meta Has Pos Phrase = 0.0 (contribution: -0.0692);
Enhanced VADER Compound = 0.0 (contribution: -0.06);
Meta Has Neg Phrase = 0.0 (contribution: -0.055)","The meta SVM predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Pos Phrase Count, Meta Intensifier Count, Enhanced SVM Neu, Meta Neg Phrase Count. The main opposing signal was Meta Has Contrast."
13,correct,"This book was absolutely the most boring book I've ever read! The sisters take up about 20 pages just explaining who's who in their family, which was just about the most unbelievably dull experience I've ever had reading. Also, they always manage to sound like they were and are perfect people. It's a great premise for a book, but the story is lost when Bessie and Sadie only speak of what great things they did, and not of what the blacks of that time period did. I love Black History, but this book was an extreme disappointment to me. I'd rather read a school textbook than this book.",neg,neg,0.5081,0.2189,RoBERTa,"Enhanced RoBERTa Neg = 0.8916 (contribution: 0.4819);
Enhanced RoBERTa Pos = 0.0097 (contribution: 0.2271);
Enhanced RoBERTa Neu = 0.0987 (contribution: 0.1041);
Meta Has Pos Phrase = 0.0 (contribution: 0.0578);
Meta Has Neg Phrase = 0.0 (contribution: 0.0386)","Enhanced VADER Compound = 0.8372 (contribution: -0.1081);
Meta Has Negator = 1.0 (contribution: -0.0851);
Meta Pos Phrase Count = 0.0 (contribution: -0.0507);
Meta Neg Phrase Count = 0.0 (contribution: -0.0339);
Meta Contrast Count = 2.0 (contribution: -0.0282)","The meta SVM predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced RoBERTa Neu, Meta Has Pos Phrase, Meta Has Neg Phrase. The main opposing signal was Enhanced VADER Compound."
