row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
0,correct,They aren't as warm or water resistant as I would have like given they are advertised as waterproof.,neu,neu,0.5853,SVM,"Enhanced SVM Neu = 0.627 (contribution: 0.228);
Enhanced RoBERTa Neu = 0.6125 (contribution: 0.2126);
Meta Has Negator = 1.0 (contribution: 0.0502);
Meta Intensifier Count = 0.0 (contribution: 0.0446);
Enhanced RoBERTa Pos = 0.0783 (contribution: 0.0416)","Meta Has Contrast = 0.0 (contribution: -0.098);
Meta Contrast Count = 0.0 (contribution: -0.0503);
Meta Has Intensifier = 0.0 (contribution: -0.0317);
Meta Has Neg Phrase = 0.0 (contribution: -0.0124);
Meta Has Diminisher = 0.0 (contribution: -0.0107)","The meta model predicted 'neu' mainly because the strongest supporting signals came from SVM. The top supporting features were Enhanced SVM Neu, Enhanced RoBERTa Neu, Meta Has Negator, Meta Intensifier Count, Enhanced RoBERTa Pos. The main opposing signal was Meta Has Contrast."
1,correct,Pins bend too easily,neg,neg,0.5366,RoBERTa,"Enhanced RoBERTa Neg = 0.7039 (contribution: 0.3955);
Enhanced RoBERTa Pos = 0.0254 (contribution: 0.2869);
Meta Has Negator = 0.0 (contribution: 0.0679);
Enhanced SVM Neg = 0.4531 (contribution: 0.0354);
Meta Has Contrast = 0.0 (contribution: 0.031)","Enhanced VADER Pos = 0.444 (contribution: -0.1324);
Enhanced VADER Neu = 0.556 (contribution: -0.0473);
Meta Negator Count = 0.0 (contribution: -0.0438);
Enhanced VADER Neg = 0.0 (contribution: -0.033);
Enhanced NB Neg = 0.2912 (contribution: -0.0235)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Meta Has Negator, Enhanced SVM Neg, Meta Has Contrast. The main opposing signal was Enhanced VADER Pos."
5,correct,"I buy a lot of stuff on Amazon and I'd say this is one of cheapest quality items I've seen. I got this for my daughter and although she likes it, I feel it's very poor quality.I don't expect this garment to last more than a month , very disappointing. 100%polyester",neg,neg,0.7379,RoBERTa,"Enhanced RoBERTa Neg = 0.9236 (contribution: 0.6413);
Enhanced RoBERTa Pos = 0.0065 (contribution: 0.3041);
Enhanced NB Neg = 0.6189 (contribution: 0.1317);
Enhanced RoBERTa Neu = 0.0699 (contribution: 0.1086);
Meta Neg Phrase Count = 1.0 (contribution: 0.087)","Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Has Contrast = 1.0 (contribution: -0.0369);
Meta Has Neg Phrase = 1.0 (contribution: -0.0338);
Meta Has Intensifier = 1.0 (contribution: -0.0108);
Meta Negator Count = 1.0 (contribution: -0.0104)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced NB Neg, Enhanced RoBERTa Neu, Meta Neg Phrase Count. The main opposing signal was Meta Has Negator."
6,correct,I have the highest respect for the nations highest award. Very good program about the medal of honor and I would recommend it highly.,pos,pos,0.9216,RoBERTa,"Enhanced RoBERTa Pos = 0.9289 (contribution: 0.6221);
Enhanced RoBERTa Neg = 0.0041 (contribution: 0.3735);
Enhanced NB Pos = 0.6244 (contribution: 0.2372);
Enhanced VADER Pos = 0.563 (contribution: 0.2348);
Meta Pos Phrase Count = 1.0 (contribution: 0.1633)","Meta Has Intensifier = 1.0 (contribution: -0.049);
Meta Has Diminisher = 0.0 (contribution: -0.0106);
Meta Diminisher Count = 0.0 (contribution: -0.0092);
Meta Has Negator = 0.0 (contribution: -0.0032)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced NB Pos, Enhanced VADER Pos, Meta Pos Phrase Count. The main opposing signal was Meta Has Intensifier."
7,correct,Great case for the price! Stunning tempered glass panels really make it a showpiece.,pos,pos,0.8436,RoBERTa,"Enhanced RoBERTa Pos = 0.956 (contribution: 0.6508);
Enhanced RoBERTa Neg = 0.0044 (contribution: 0.3732);
Enhanced NB Pos = 0.5504 (contribution: 0.1817);
Enhanced VADER Pos = 0.389 (contribution: 0.1309);
Enhanced SVM Neu = 0.2189 (contribution: 0.1009)","Meta Has Intensifier = 1.0 (contribution: -0.049);
Meta Pos Phrase Count = 0.0 (contribution: -0.0152);
Meta Has Pos Phrase = 0.0 (contribution: -0.0111);
Meta Has Diminisher = 0.0 (contribution: -0.0106);
Meta Diminisher Count = 0.0 (contribution: -0.0092)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced NB Pos, Enhanced VADER Pos, Enhanced SVM Neu. The main opposing signal was Meta Has Intensifier."
9,correct,They are ok. I got the wrong size somehow. Also they are made out of cheap material. I will wear them but I bought a different pair on amazon for a little more money that was definitely worth it.,neu,neu,0.6032,RoBERTa,"Enhanced RoBERTa Neu = 0.5445 (contribution: 0.1653);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Has Neg Phrase = 1.0 (contribution: 0.1058);
Enhanced SVM Neu = 0.4486 (contribution: 0.0803);
Enhanced VADER Compound = 0.7543 (contribution: 0.0577)","Meta Has Negator = 0.0 (contribution: -0.0648);
Meta Has Intensifier = 0.0 (contribution: -0.0317);
Meta Neg Phrase Count = 1.0 (contribution: -0.0301);
Enhanced NB Neu = 0.2983 (contribution: -0.0139);
Meta Has Diminisher = 0.0 (contribution: -0.0107)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Has Neg Phrase, Enhanced SVM Neu, Enhanced VADER Compound. The main opposing signal was Meta Has Negator."
10,correct,Very good strap works as stated,pos,pos,0.7148,RoBERTa,"Enhanced RoBERTa Pos = 0.852 (contribution: 0.5404);
Enhanced RoBERTa Neg = 0.0067 (contribution: 0.3707);
Enhanced VADER Pos = 0.39 (contribution: 0.1315);
Enhanced NB Pos = 0.4654 (contribution: 0.1179);
Meta Has Contrast = 0.0 (contribution: 0.0671)","Enhanced SVM Neu = 0.5015 (contribution: -0.1139);
Meta Has Intensifier = 1.0 (contribution: -0.049);
Meta Pos Phrase Count = 0.0 (contribution: -0.0152);
Meta Has Pos Phrase = 0.0 (contribution: -0.0111);
Meta Has Diminisher = 0.0 (contribution: -0.0106)","The meta model predicted 'pos' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Pos, Enhanced RoBERTa Neg, Enhanced VADER Pos, Enhanced NB Pos, Meta Has Contrast. The main opposing signal was Enhanced SVM Neu."
13,correct,"This book was absolutely the most boring book I've ever read! The sisters take up about 20 pages just explaining who's who in their family, which was just about the most unbelievably dull experience I've ever had reading. Also, they always manage to sound like they were and are perfect people. It's a great premise for a book, but the story is lost when Bessie and Sadie only speak of what great things they did, and not of what the blacks of that time period did. I love Black History, but this book was an extreme disappointment to me. I'd rather read a school textbook than this book.",neg,neg,0.4685,RoBERTa,"Enhanced RoBERTa Neg = 0.8916 (contribution: 0.6055);
Enhanced RoBERTa Pos = 0.0097 (contribution: 0.3012);
Enhanced RoBERTa Neu = 0.0987 (contribution: 0.0954);
Meta Has Diminisher = 0.0 (contribution: 0.0213);
Enhanced NB Neu = 0.2109 (contribution: 0.0211)","Enhanced NB Pos = 0.6317 (contribution: -0.1543);
Enhanced VADER Compound = 0.8372 (contribution: -0.1536);
Enhanced NB Neg = 0.1574 (contribution: -0.0869);
Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Has Contrast = 1.0 (contribution: -0.0369)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced RoBERTa Neu, Meta Has Diminisher, Enhanced NB Neu. The main opposing signal was Enhanced NB Pos."
15,correct,ADAPTER IS NOT READY FOR PRIME TIME,neg,neg,0.7757,RoBERTa,"Enhanced RoBERTa Neg = 0.8287 (contribution: 0.5351);
Enhanced RoBERTa Pos = 0.0156 (contribution: 0.2958);
Enhanced VADER Compound = -0.2755 (contribution: 0.1532);
Enhanced SVM Neg = 0.6322 (contribution: 0.0905);
Enhanced VADER Pos = 0.0 (contribution: 0.0819)","Meta Has Negator = 1.0 (contribution: -0.0526);
Meta Intensifier Count = 0.0 (contribution: -0.0116);
Meta Neg Phrase Count = 0.0 (contribution: -0.0115);
Meta Negator Count = 1.0 (contribution: -0.0104);
Enhanced VADER Neu = 0.74 (contribution: -0.003)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced SVM Neg, Enhanced VADER Pos. The main opposing signal was Meta Has Negator."
16,correct,"This is not a good FM antenna, but it is a very good amplifier. Meaning If the reception is weak, this antenna will not help. But if the reception is already strong, the sound quality will improve a lot.",neu,neu,0.5787,Polarity Shift Features,"Enhanced RoBERTa Neu = 0.4927 (contribution: 0.1293);
Meta Has Contrast = 1.0 (contribution: 0.1167);
Meta Contrast Count = 2.0 (contribution: 0.0806);
Enhanced VADER Neg = 0.232 (contribution: 0.0652);
Meta Has Intensifier = 1.0 (contribution: 0.0598)","Enhanced VADER Compound = -0.3069 (contribution: -0.0715);
Meta Intensifier Count = 1.0 (contribution: -0.037);
Enhanced SVM Neg = 0.4608 (contribution: -0.0241);
Meta Negator Count = 2.0 (contribution: -0.0187);
Meta Has Neg Phrase = 0.0 (contribution: -0.0124)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Polarity Shift Features. The top supporting features were Enhanced RoBERTa Neu, Meta Has Contrast, Meta Contrast Count, Enhanced VADER Neg, Meta Has Intensifier. The main opposing signal was Enhanced VADER Compound."
