row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
2,wrong,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,neu,0.5015,SVM,"Enhanced VADER Compound = 0.9897 (contribution: 0.2069);
Enhanced SVM Neu = 0.4502 (contribution: 0.1499);
Enhanced NB Pos = 0.1769 (contribution: 0.0825);
Enhanced NB Neu = 0.6349 (contribution: 0.0653);
Enhanced SVM Neg = 0.2078 (contribution: 0.0652)","Enhanced VADER Neg = 0.0 (contribution: -0.0738);
Enhanced RoBERTa Pos = 0.5938 (contribution: -0.0574);
Enhanced NB Neg = 0.1882 (contribution: -0.0497);
Enhanced RoBERTa Neg = 0.0281 (contribution: -0.0289);
Enhanced SVM Pos = 0.3421 (contribution: -0.0102)","The meta model predicted 'neu' mainly because the strongest supporting signals came from SVM. The top supporting features were Enhanced VADER Compound, Enhanced SVM Neu, Enhanced NB Pos, Enhanced NB Neu, Enhanced SVM Neg. The main opposing signal was Enhanced VADER Neg."
3,wrong,I like the glasses but not the fit. I can't get the nose piece right. They sit on my cheeks.,neu,neg,0.6617,RoBERTa,"Enhanced RoBERTa Neg = 0.7574 (contribution: 0.7295);
Enhanced RoBERTa Pos = 0.0169 (contribution: 0.4772);
Enhanced VADER Compound = -0.2299 (contribution: 0.1776);
Enhanced RoBERTa Neu = 0.2257 (contribution: 0.055);
Enhanced NB Pos = 0.1861 (contribution: 0.0261)","Enhanced NB Neu = 0.4297 (contribution: -0.0299);
Enhanced VADER Neg = 0.131 (contribution: -0.0024);
Enhanced SVM Neu = 0.4671 (contribution: -0.0013)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced NB Pos. The main opposing signal was Enhanced NB Neu."
4,wrong,Too dark to use them indoors.,pos,neg,0.6313,RoBERTa,"Enhanced RoBERTa Neg = 0.6354 (contribution: 0.5108);
Enhanced RoBERTa Pos = 0.0237 (contribution: 0.4673);
Enhanced VADER Compound = 0.0 (contribution: 0.0975);
Enhanced VADER Neu = 1.0 (contribution: 0.036);
Enhanced VADER Pos = 0.0 (contribution: 0.022)","Enhanced RoBERTa Neu = 0.3409 (contribution: -0.0232);
Enhanced NB Neg = 0.3063 (contribution: -0.0148);
Enhanced NB Neu = 0.3799 (contribution: -0.011);
Enhanced NB Pos = 0.3138 (contribution: -0.0012);
Enhanced SVM Neu = 0.3563 (contribution: -0.0001)","The meta model predicted 'neg' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neg, Enhanced RoBERTa Pos, Enhanced VADER Compound, Enhanced VADER Neu, Enhanced VADER Pos. The main opposing signal was Enhanced RoBERTa Neu."
8,wrong,"Love these so much, but they do not come with the jump rings as advertised in the pitcure. Luckily I had extra in storage, but if you don't, be sure to buy some separately.",pos,neu,0.5019,Naive Bayes,"Enhanced VADER Compound = 0.6815 (contribution: 0.1171);
Enhanced NB Neg = 0.6031 (contribution: 0.0855);
Enhanced RoBERTa Neu = 0.4691 (contribution: 0.0849);
Enhanced NB Pos = 0.183 (contribution: 0.0787)","Enhanced SVM Neu = 0.2501 (contribution: -0.1545);
Enhanced SVM Neg = 0.4308 (contribution: -0.0463);
Enhanced NB Neu = 0.2139 (contribution: -0.0315);
Enhanced RoBERTa Neg = 0.1496 (contribution: -0.018);
Enhanced VADER Neg = 0.062 (contribution: -0.015)","The meta model predicted 'neu' mainly because the strongest supporting signals came from Naive Bayes. The top supporting features were Enhanced VADER Compound, Enhanced NB Neg, Enhanced RoBERTa Neu, Enhanced NB Pos. The main opposing signal was Enhanced SVM Neu."
12,wrong,I bought the book with just a little knowledge of the candle making industry. The problem with the book is its not updated for the new technology and materials that are used in candle making today. Yes it does a good job of breaking down the VERY BASICS but thats it. You need to know more about the industry than this book covers. I got more information from watching videos on youtube and the different candle supply companies websites than the couple of books I recently purchased. Watch videos and get up to date information on new waxes and materials. Save yourself the $15 or whatever you may spend and research the internet and the big candle supply companies out there. They know whats new and what works,neg,neu,0.591,RoBERTa,"Enhanced RoBERTa Neu = 0.5729 (contribution: 0.1392);
Enhanced VADER Compound = 0.7391 (contribution: 0.1339);
Enhanced NB Neg = 0.6029 (contribution: 0.0854);
Enhanced NB Pos = 0.1798 (contribution: 0.0806);
Enhanced VADER Pos = 0.063 (contribution: 0.0411)","Enhanced SVM Neu = 0.3083 (contribution: -0.066);
Enhanced VADER Neg = 0.014 (contribution: -0.0605);
Enhanced NB Neu = 0.2172 (contribution: -0.0308);
Enhanced SVM Pos = 0.4025 (contribution: -0.0295);
Enhanced VADER Neu = 0.923 (contribution: -0.0161)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced VADER Compound, Enhanced NB Neg, Enhanced NB Pos, Enhanced VADER Pos. The main opposing signal was Enhanced SVM Neu."
14,wrong,Much clearer than VHS-to-DVD-to-Digital,pos,neu,0.4419,RoBERTa,"Enhanced RoBERTa Neu = 0.5338 (contribution: 0.1188);
Enhanced VADER Pos = 0.0 (contribution: 0.0654);
Enhanced SVM Pos = 0.1995 (contribution: 0.0353);
Enhanced SVM Neu = 0.3679 (contribution: 0.0248);
Enhanced NB Neu = 0.3723 (contribution: 0.0049)","Enhanced VADER Compound = 0.0 (contribution: -0.0817);
Enhanced VADER Neg = 0.0 (contribution: -0.0738);
Enhanced SVM Neg = 0.4325 (contribution: -0.0471);
Enhanced RoBERTa Neg = 0.0605 (contribution: -0.026);
Enhanced VADER Neu = 1.0 (contribution: -0.0233)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced VADER Pos, Enhanced SVM Pos, Enhanced SVM Neu, Enhanced NB Neu. The main opposing signal was Enhanced VADER Compound."
17,wrong,FIVE STA...er...Make that ONE star!,neg,neu,0.4307,RoBERTa,"Enhanced RoBERTa Neu = 0.5609 (contribution: 0.1329);
Enhanced VADER Pos = 0.0 (contribution: 0.0654);
Enhanced SVM Pos = 0.1974 (contribution: 0.036);
Enhanced NB Pos = 0.2794 (contribution: 0.0181);
Enhanced NB Neg = 0.3859 (contribution: 0.0147)","Enhanced VADER Compound = 0.0 (contribution: -0.0817);
Enhanced VADER Neg = 0.0 (contribution: -0.0738);
Enhanced SVM Neg = 0.4764 (contribution: -0.069);
Enhanced SVM Neu = 0.3263 (contribution: -0.0386);
Enhanced RoBERTa Neg = 0.0422 (contribution: -0.0276)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced VADER Pos, Enhanced SVM Pos, Enhanced NB Pos, Enhanced NB Neg. The main opposing signal was Enhanced VADER Compound."
19,wrong,"Ladies with smaller sized chest would be fine with this product- Ladies with larger (D+), don't bother! The ears don't stick enough to keep the girls lifted and give you a weird shape when they do stick for a couple minutes.",neg,neu,0.4463,RoBERTa,"Enhanced RoBERTa Neu = 0.5467 (contribution: 0.1255);
Enhanced NB Neg = 0.5309 (contribution: 0.0619);
Enhanced RoBERTa Pos = 0.0865 (contribution: 0.0586);
Enhanced NB Pos = 0.238 (contribution: 0.0441);
Enhanced VADER Pos = 0.099 (contribution: 0.0272)","Enhanced SVM Neu = 0.2152 (contribution: -0.2077);
Enhanced SVM Pos = 0.42 (contribution: -0.0351);
Enhanced VADER Neg = 0.041 (contribution: -0.0349);
Enhanced NB Neu = 0.2311 (contribution: -0.0276);
Enhanced SVM Neg = 0.3648 (contribution: -0.0133)","The meta model predicted 'neu' mainly because the strongest supporting signals came from RoBERTa. The top supporting features were Enhanced RoBERTa Neu, Enhanced NB Neg, Enhanced RoBERTa Pos, Enhanced NB Pos, Enhanced VADER Pos. The main opposing signal was Enhanced SVM Neu."
20,wrong,It came stained! I'm so upset too because I planned to wear it to my sons graduation and now I don't have time to order something else.Edit: I raised my star rating from a 1 to a 4 because the company who manufactured the dress reached out and apologized for their mistake with the stains. Anytime a company goes out of there way and acknowledges their mistake I appreciate it.,pos,neg,0.5946,VADER,"Enhanced VADER Compound = -0.6793 (contribution: 0.334);
Enhanced RoBERTa Pos = 0.1179 (contribution: 0.3293);
Enhanced NB Neg = 0.6372 (contribution: 0.1274);
Enhanced RoBERTa Neg = 0.413 (contribution: 0.1122);
Enhanced NB Neu = 0.2116 (contribution: 0.053)","Enhanced RoBERTa Neu = 0.4691 (contribution: -0.1101);
Enhanced VADER Neg = 0.154 (contribution: -0.0035);
Enhanced SVM Pos = 0.3145 (contribution: -0.0005)","The meta model predicted 'neg' mainly because the strongest supporting signals came from VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Pos, Enhanced NB Neg, Enhanced RoBERTa Neg, Enhanced NB Neu. The main opposing signal was Enhanced RoBERTa Neu."
28,wrong,"This batch that I bouth in 2010 no only won't burn in either my CD/DVD player but it ejects itself before I can press a button. Same with the other player on my machine which also burns blu rays. I took the DL Verbatims from 2007-2008 and saved them to one BluRay and all the info was transferred wihtout a hitch. The 4.7s work great, I even get what should be DL space items compressed without much quality loss to the 4.7s This is very bad. They did something in the factory that reduced the quality of the DL disk to where the machine dosent even want it to sit there. I kicks it out. Sometimes im lucky if i put it in and press burn right away it will register but more often then not burns coaster.",neg,neu,0.6362,VADER,"Enhanced VADER Compound = 0.8444 (contribution: 0.1646);
Enhanced RoBERTa Neu = 0.5057 (contribution: 0.1041);
Enhanced NB Pos = 0.1696 (contribution: 0.087);
Enhanced NB Neg = 0.5387 (contribution: 0.0645);
Enhanced SVM Neu = 0.3841 (contribution: 0.0494)","Enhanced SVM Neg = 0.413 (contribution: -0.0374);
Enhanced VADER Neg = 0.047 (contribution: -0.0292);
Enhanced RoBERTa Neg = 0.1852 (contribution: -0.0148);
Enhanced NB Neu = 0.2917 (contribution: -0.0136);
Enhanced VADER Neu = 0.843 (contribution: -0.0085)","The meta model predicted 'neu' mainly because the strongest supporting signals came from VADER. The top supporting features were Enhanced VADER Compound, Enhanced RoBERTa Neu, Enhanced NB Pos, Enhanced NB Neg, Enhanced SVM Neu. The main opposing signal was Enhanced SVM Neg."
