row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_individual_feature,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
0,correct,They aren't as warm or water resistant as I would have like given they are advertised as waterproof.,neu,neu,0.5778,Base SVM Neu,RoBERTa,"Base SVM Neu = 0.3966 (SHAP contribution: 0.1573);
Base RoBERTa Neu = 0.6234 (SHAP contribution: 0.1427);
Base NB Neu = 0.4462 (SHAP contribution: 0.1122);
Base NB Pos = 0.2787 (SHAP contribution: 0.0388);
Base RoBERTa Pos = 0.0807 (SHAP contribution: 0.0283)","Base VADER Compound = 0.2105 (SHAP contribution: -0.0281);
Base SVM Neg = 0.2611 (SHAP contribution: -0.0026)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Base SVM Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Base SVM Neu, Base RoBERTa Neu, Base NB Neu, Base NB Pos, Base RoBERTa Pos. The main opposing signal was Base VADER Compound."
1,correct,Pins bend too easily,neg,neg,0.6048,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.7283 (SHAP contribution: 0.6138);
Base RoBERTa Pos = 0.0225 (SHAP contribution: 0.3202);
Base RoBERTa Neu = 0.2492 (SHAP contribution: 0.0727);
Base SVM Pos = 0.3093 (SHAP contribution: 0.0281);
Base SVM Neg = 0.3638 (SHAP contribution: 0.0013)","Base VADER Compound = 0.34 (SHAP contribution: -0.0938);
Base NB Neu = 0.4347 (SHAP contribution: -0.0616);
Base VADER Pos = 0.444 (SHAP contribution: -0.0107);
Base NB Neg = 0.295 (SHAP contribution: -0.0075);
Base NB Pos = 0.2703 (SHAP contribution: -0.0048)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base SVM Pos, Base SVM Neg. The main opposing signal was Base VADER Compound."
2,correct,"I ordered 3 sizes up because of the reviews , the material is thinner than I expected but not see through, has thumb holes didn't really notice until after I bought it , so gets baggy at the bottom , I really like how it has the flowy sides the shape nd style of the shirt is really nice on top of a pencil skirt (is the way I'm wearing it , I would say the bag doesn't have much shape but I would go darker to be more sliming, I like the hood and the comfy part of the sweater , it's tighter on my upper arms only cuz I have bigger upper arms the elbow down is bigger material , and it doesn't look like expensive quality but grateful was only 15.99 . I may purchase another color. I bought the pink one(""purple) it's not purple it's actually pink close to the picture looks to me like a rosy darker hot pink color. I am thinning of getting the green one next it'll be a grate live in sweater for the fall and casual for winter under the coat. Love the hood with extra space not too snug",pos,pos,0.4617,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0204 (SHAP contribution: 0.6533);
Base RoBERTa Pos = 0.6239 (SHAP contribution: 0.1843);
Base NB Neg = 0.2172 (SHAP contribution: 0.0451);
Base VADER Compound = 0.9877 (SHAP contribution: 0.025);
Base VADER Pos = 0.165 (SHAP contribution: 0.0177)","Base RoBERTa Neu = 0.3557 (SHAP contribution: -0.1396);
Base SVM Pos = 0.18 (SHAP contribution: -0.1264);
Base NB Pos = 0.1984 (SHAP contribution: -0.0541);
Base SVM Neg = 0.4674 (SHAP contribution: -0.0089)","The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base NB Neg, Base VADER Compound, Base VADER Pos. The main opposing signal was Base RoBERTa Neu."
5,correct,"I buy a lot of stuff on Amazon and I'd say this is one of cheapest quality items I've seen. I got this for my daughter and although she likes it, I feel it's very poor quality.I don't expect this garment to last more than a month , very disappointing. 100%polyester",neg,neg,0.7674,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.9056 (SHAP contribution: 0.6124);
Base RoBERTa Pos = 0.0071 (SHAP contribution: 0.3773);
Base VADER Compound = -0.5245 (SHAP contribution: 0.1264);
Base RoBERTa Neu = 0.0872 (SHAP contribution: 0.073);
Base NB Neu = 0.2392 (SHAP contribution: 0.0524)","Base SVM Pos = 0.3901 (SHAP contribution: -0.0983);
Base NB Pos = 0.2702 (SHAP contribution: -0.0048);
Base SVM Neg = 0.3334 (SHAP contribution: -0.0034);
Base VADER Neu = 0.783 (SHAP contribution: -0.0033)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base NB Neu. The main opposing signal was Base SVM Pos."
6,correct,I have the highest respect for the nations highest award. Very good program about the medal of honor and I would recommend it highly.,pos,pos,0.8644,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.004 (SHAP contribution: 0.8241);
Base RoBERTa Pos = 0.9476 (SHAP contribution: 0.4934);
Base SVM Pos = 0.3878 (SHAP contribution: 0.1582);
Base RoBERTa Neu = 0.0484 (SHAP contribution: 0.0925);
Base NB Pos = 0.587 (SHAP contribution: 0.0669)",None,"The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Pos, Base RoBERTa Neu, Base NB Pos. The main opposing signal was no strong opposing signal."
7,correct,Great case for the price! Stunning tempered glass panels really make it a showpiece.,pos,pos,0.8644,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0043 (SHAP contribution: 0.8267);
Base RoBERTa Pos = 0.9586 (SHAP contribution: 0.5021);
Base SVM Pos = 0.3711 (SHAP contribution: 0.1537);
Base RoBERTa Neu = 0.0371 (SHAP contribution: 0.0913);
Base NB Pos = 0.5796 (SHAP contribution: 0.0695)",Base SVM Neg = 0.3387 (SHAP contribution: -0.0013),"The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Pos, Base RoBERTa Neu, Base NB Pos. The main opposing signal was Base SVM Neg."
9,correct,They are ok. I got the wrong size somehow. Also they are made out of cheap material. I will wear them but I bought a different pair on amazon for a little more money that was definitely worth it.,neu,neu,0.5599,Base RoBERTa Neu,RoBERTa,"Base RoBERTa Neu = 0.486 (SHAP contribution: 0.163);
Base VADER Compound = 0.7579 (SHAP contribution: 0.1191);
Base NB Pos = 0.2903 (SHAP contribution: 0.0456);
Base RoBERTa Neg = 0.1094 (SHAP contribution: 0.0281);
Base RoBERTa Pos = 0.4046 (SHAP contribution: 0.0253)","Base SVM Neu = 0.3233 (SHAP contribution: -0.1185);
Base NB Neu = 0.2672 (SHAP contribution: -0.0827)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neu, Base VADER Compound, Base NB Pos, Base RoBERTa Neg, Base RoBERTa Pos. The main opposing signal was Base SVM Neu."
10,correct,Very good strap works as stated,pos,pos,0.8238,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0116 (SHAP contribution: 0.7962);
Base RoBERTa Pos = 0.8481 (SHAP contribution: 0.4938);
Base SVM Pos = 0.3553 (SHAP contribution: 0.1537);
Base RoBERTa Neu = 0.1402 (SHAP contribution: 0.0905);
Base NB Pos = 0.4631 (SHAP contribution: 0.0639)",Base SVM Neu = 0.3704 (SHAP contribution: -0.0352),"The meta XGBoost model predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Pos, Base RoBERTa Neu, Base NB Pos. The main opposing signal was Base SVM Neu."
11,correct,I did not the length to long.,neu,neu,0.4529,Base SVM Neu,RoBERTa,"Base SVM Neu = 0.3823 (SHAP contribution: 0.1604);
Base RoBERTa Neu = 0.5396 (SHAP contribution: 0.1375);
Base NB Neu = 0.432 (SHAP contribution: 0.0834);
Base NB Neg = 0.3608 (SHAP contribution: 0.0329);
Base NB Pos = 0.2072 (SHAP contribution: 0.0202)","Base VADER Compound = 0.0 (SHAP contribution: -0.083);
Base VADER Neu = 1.0 (SHAP contribution: -0.0559);
Base VADER Pos = 0.0 (SHAP contribution: -0.0283);
Base VADER Neg = 0.0 (SHAP contribution: -0.0213);
Base SVM Neg = 0.3149 (SHAP contribution: -0.0)","The meta XGBoost model predicted 'neu' mainly because the strongest individual supporting feature was Base SVM Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Base SVM Neu, Base RoBERTa Neu, Base NB Neu, Base NB Neg, Base NB Pos. The main opposing signal was Base VADER Compound."
13,correct,"This book was absolutely the most boring book I've ever read! The sisters take up about 20 pages just explaining who's who in their family, which was just about the most unbelievably dull experience I've ever had reading. Also, they always manage to sound like they were and are perfect people. It's a great premise for a book, but the story is lost when Bessie and Sadie only speak of what great things they did, and not of what the blacks of that time period did. I love Black History, but this book was an extreme disappointment to me. I'd rather read a school textbook than this book.",neg,neg,0.7125,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.8908 (SHAP contribution: 0.658);
Base RoBERTa Pos = 0.0093 (SHAP contribution: 0.3873);
Base RoBERTa Neu = 0.0999 (SHAP contribution: 0.0738);
Base NB Neu = 0.2392 (SHAP contribution: 0.0652);
Base SVM Neu = 0.3984 (SHAP contribution: 0.0006)","Base SVM Pos = 0.4609 (SHAP contribution: -0.1134);
Base VADER Compound = 0.8372 (SHAP contribution: -0.1064);
Base SVM Neg = 0.1407 (SHAP contribution: -0.0133);
Base NB Neg = 0.1974 (SHAP contribution: -0.0063);
Base VADER Pos = 0.147 (SHAP contribution: -0.0062)","The meta XGBoost model predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Neu, Base SVM Neu. The main opposing signal was Base SVM Pos."
