row_index,prediction_result,review_text,true_sentiment,predicted_sentiment,prediction_confidence,strongest_individual_feature,strongest_feature_group,top_supporting_features,top_opposing_features,explanation
0,correct,They aren't as warm or water resistant as I would have like given they are advertised as waterproof.,neu,neu,0.5695,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.2959 (SHAP contribution: 0.036);
Base RoBERTa Pos = 0.0807 (SHAP contribution: 0.0302);
Base NB Pos = 0.2787 (SHAP contribution: 0.0279);
Base SVM Neu = 0.3966 (SHAP contribution: 0.0268);
Base RoBERTa Neu = 0.6234 (SHAP contribution: 0.0259)",Base SVM Pos = 0.3423 (SHAP contribution: -0.0003),"The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base NB Pos, Base SVM Neu, Base RoBERTa Neu. The main opposing signal was Base SVM Pos."
1,correct,Pins bend too easily,neg,neg,0.5724,Base RoBERTa Pos,RoBERTa,"Base RoBERTa Pos = 0.0225 (SHAP contribution: 0.1353);
Base RoBERTa Neg = 0.7283 (SHAP contribution: 0.1326);
Base RoBERTa Neu = 0.2492 (SHAP contribution: 0.0296);
Base SVM Neg = 0.3638 (SHAP contribution: 0.0138);
Base SVM Pos = 0.3093 (SHAP contribution: 0.0102)","Base VADER Pos = 0.444 (SHAP contribution: -0.028);
Base VADER Compound = 0.34 (SHAP contribution: -0.026);
Base NB Neg = 0.295 (SHAP contribution: -0.0193);
Base NB Neu = 0.4347 (SHAP contribution: -0.0167);
Base NB Pos = 0.2703 (SHAP contribution: -0.0071)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Pos, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Pos, Base RoBERTa Neg, Base RoBERTa Neu, Base SVM Neg, Base SVM Pos. The main opposing signal was Base VADER Pos."
5,correct,"I buy a lot of stuff on Amazon and I'd say this is one of cheapest quality items I've seen. I got this for my daughter and although she likes it, I feel it's very poor quality.I don't expect this garment to last more than a month , very disappointing. 100%polyester",neg,neg,0.7381,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.9056 (SHAP contribution: 0.1602);
Base RoBERTa Pos = 0.0071 (SHAP contribution: 0.1473);
Base VADER Compound = -0.5245 (SHAP contribution: 0.0465);
Base RoBERTa Neu = 0.0872 (SHAP contribution: 0.042);
Base NB Neg = 0.4907 (SHAP contribution: 0.0195)","Base SVM Pos = 0.3901 (SHAP contribution: -0.0297);
Base NB Pos = 0.2702 (SHAP contribution: -0.0099);
Base SVM Neg = 0.3334 (SHAP contribution: -0.0026);
Base SVM Neu = 0.2764 (SHAP contribution: -0.0016);
Base VADER Neu = 0.783 (SHAP contribution: -0.0012)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base VADER Compound, Base RoBERTa Neu, Base NB Neg. The main opposing signal was Base SVM Pos."
6,correct,I have the highest respect for the nations highest award. Very good program about the medal of honor and I would recommend it highly.,pos,pos,0.9537,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.004 (SHAP contribution: 0.1973);
Base RoBERTa Pos = 0.9476 (SHAP contribution: 0.1827);
Base RoBERTa Neu = 0.0484 (SHAP contribution: 0.0487);
Base NB Pos = 0.587 (SHAP contribution: 0.0458);
Base SVM Pos = 0.3878 (SHAP contribution: 0.0329)",None,"The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Pos, Base SVM Pos. The main opposing signal was no strong opposing signal."
7,correct,Great case for the price! Stunning tempered glass panels really make it a showpiece.,pos,pos,0.9478,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0043 (SHAP contribution: 0.2005);
Base RoBERTa Pos = 0.9586 (SHAP contribution: 0.1787);
Base RoBERTa Neu = 0.0371 (SHAP contribution: 0.052);
Base NB Pos = 0.5796 (SHAP contribution: 0.0442);
Base VADER Compound = 0.7901 (SHAP contribution: 0.0347)",None,"The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Pos, Base VADER Compound. The main opposing signal was no strong opposing signal."
9,correct,They are ok. I got the wrong size somehow. Also they are made out of cheap material. I will wear them but I bought a different pair on amazon for a little more money that was definitely worth it.,neu,neu,0.5691,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.1094 (SHAP contribution: 0.0667);
Base RoBERTa Neu = 0.486 (SHAP contribution: 0.0532);
Base RoBERTa Pos = 0.4046 (SHAP contribution: 0.0527);
Base VADER Compound = 0.7579 (SHAP contribution: 0.0405);
Base VADER Neg = 0.05 (SHAP contribution: 0.0259)","Base NB Neu = 0.2672 (SHAP contribution: -0.0382);
Base SVM Neu = 0.3233 (SHAP contribution: -0.0378)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Neu, Base RoBERTa Pos, Base VADER Compound, Base VADER Neg. The main opposing signal was Base NB Neu."
10,correct,Very good strap works as stated,pos,pos,0.8988,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0116 (SHAP contribution: 0.1893);
Base RoBERTa Pos = 0.8481 (SHAP contribution: 0.1785);
Base RoBERTa Neu = 0.1402 (SHAP contribution: 0.0569);
Base NB Pos = 0.4631 (SHAP contribution: 0.0499);
Base SVM Pos = 0.3553 (SHAP contribution: 0.032)","Base SVM Neu = 0.3704 (SHAP contribution: -0.023);
Base NB Neu = 0.318 (SHAP contribution: -0.0039)","The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Pos, Base SVM Pos. The main opposing signal was Base SVM Neu."
11,correct,I did not the length to long.,neu,neu,0.4557,Base SVM Neu,RoBERTa,"Base SVM Neu = 0.3823 (SHAP contribution: 0.0403);
Base RoBERTa Pos = 0.0986 (SHAP contribution: 0.0375);
Base NB Neg = 0.3608 (SHAP contribution: 0.0264);
Base SVM Neg = 0.3149 (SHAP contribution: 0.021);
Base RoBERTa Neu = 0.5396 (SHAP contribution: 0.0176)","Base VADER Compound = 0.0 (SHAP contribution: -0.0414);
Base VADER Pos = 0.0 (SHAP contribution: -0.0226);
Base VADER Neu = 1.0 (SHAP contribution: -0.0124);
Base VADER Neg = 0.0 (SHAP contribution: -0.0066)","The meta Random Forest predicted 'neu' mainly because the strongest individual supporting feature was Base SVM Neu, while the strongest overall feature group was RoBERTa. The top supporting features were Base SVM Neu, Base RoBERTa Pos, Base NB Neg, Base SVM Neg, Base RoBERTa Neu. The main opposing signal was Base VADER Compound."
13,correct,"This book was absolutely the most boring book I've ever read! The sisters take up about 20 pages just explaining who's who in their family, which was just about the most unbelievably dull experience I've ever had reading. Also, they always manage to sound like they were and are perfect people. It's a great premise for a book, but the story is lost when Bessie and Sadie only speak of what great things they did, and not of what the blacks of that time period did. I love Black History, but this book was an extreme disappointment to me. I'd rather read a school textbook than this book.",neg,neg,0.6665,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.8908 (SHAP contribution: 0.185);
Base RoBERTa Pos = 0.0093 (SHAP contribution: 0.1778);
Base RoBERTa Neu = 0.0999 (SHAP contribution: 0.0541);
Base NB Neu = 0.2392 (SHAP contribution: 0.0174);
Base VADER Neg = 0.092 (SHAP contribution: 0.0047)","Base SVM Pos = 0.4609 (SHAP contribution: -0.0349);
Base VADER Compound = 0.8372 (SHAP contribution: -0.0316);
Base NB Pos = 0.5634 (SHAP contribution: -0.016);
Base SVM Neg = 0.1407 (SHAP contribution: -0.0125);
Base NB Neg = 0.1974 (SHAP contribution: -0.0117)","The meta Random Forest predicted 'neg' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base RoBERTa Neu, Base NB Neu, Base VADER Neg. The main opposing signal was Base SVM Pos."
14,correct,Much clearer than VHS-to-DVD-to-Digital,pos,pos,0.4076,Base RoBERTa Neg,RoBERTa,"Base RoBERTa Neg = 0.0611 (SHAP contribution: 0.0678);
Base RoBERTa Pos = 0.4096 (SHAP contribution: 0.0422);
Base SVM Neu = 0.326 (SHAP contribution: 0.0193);
Base VADER Neg = 0.0 (SHAP contribution: 0.014);
Base SVM Neg = 0.3363 (SHAP contribution: 0.0114)","Base VADER Compound = 0.0 (SHAP contribution: -0.0284);
Base VADER Pos = 0.0 (SHAP contribution: -0.0151);
Base SVM Pos = 0.3377 (SHAP contribution: -0.01);
Base NB Neu = 0.3782 (SHAP contribution: -0.0061);
Base NB Pos = 0.31 (SHAP contribution: -0.0052)","The meta Random Forest predicted 'pos' mainly because the strongest individual supporting feature was Base RoBERTa Neg, while the strongest overall feature group was RoBERTa. The top supporting features were Base RoBERTa Neg, Base RoBERTa Pos, Base SVM Neu, Base VADER Neg, Base SVM Neg. The main opposing signal was Base VADER Compound."
